Name,Category,Difficulty,Estimated Time,Ideal Stage,Short Description,Long Description,Brief Instructions Step 1,Brief Instructions Step 2,Brief Instructions Step 3,Detailed Instructions Step 1,Detailed Instructions Step 2,Detailed Instructions Step 3,Detailed Instructions Step 4,Detailed Instructions Step 5,General Tips,Troubleshooting,Prerequisites,Progressions,Preparation Tips,Training Insights,Achievement Level 1,Achievement Level 2,Achievement Level 3,Ideal Stage Level 1,Ideal Stage Level 2,Ideal Stage Level 3,Pass Criteria,Fail Criteria,Mastery Criteria
Take It,Foundational / Play / Impulse Control,Beginner,1–2 weeks,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12",Teaches the dog to take an object gently on cue.,"Take It teaches your dog to wait for permission before taking food or toys. This improves impulse control, prevents grabbing, and teaches polite manners around hands and objects.",Hold object.,Say 'Take It.',Allow gentle mouth contact.,"Hold a toy or treat in your hand while keeping your fist closed. When your dog waits calmly, say 'Take It' and open your hand.",Reward gentle taking by marking and praising.,Gradually introduce more exciting items while reinforcing calmness.,,,Never allow grabbing or lunging. Reward calm waiting before giving the cue.,"If your dog grabs too hard, use less exciting items. If they grab early, close your hand quickly. If they seem confused, slow down and reward small steps.","Sit, Name Recognition","Drop It, Fetch, Object Handling",Choose a low-excitement item at first and use calm handling.,Take It teaches impulse control and sets the foundation for polite use of toys or treats.,Takes object gently indoors.,Takes object around mild distractions.,Takes objects gently in exciting play situations.,Week 8,Week 10,Week 12,Dog waits calmly for cue.,Dog grabs early.,Dog takes any object gently on cue.
Roll Over,Fun / Obedience / Body Awareness,Intermediate,2–4 weeks,"Level 1 by Week 14, Level 2 by Week 16, Level 3 by Week 18",Teaches the dog to roll onto their back and complete a full rotation.,"Roll Over is a fun trick that improves flexibility, confidence, and comfort with body handling. It helps dogs become at ease with unusual positions and strengthens overall body awareness.",Lure your dog into a down.,Lure their head toward their shoulder.,Guide them through a full roll.,Ask your dog to lie down on a soft surface. Hold a treat by their nose and slowly lure their head toward their shoulder so they begin to roll onto their side.,Continue moving the treat in a circular motion so your dog rolls onto their back and then completes the rotation onto their other side.,"Mark and reward as soon as they finish the roll. Practice in short, positive sessions, rewarding even partial rolls at first.",,,"Train on a soft, non-slip surface so your dog feels comfortable. Move the lure slowly and clearly so they can follow it. Reward attempts generously at the beginning.","If your dog pops up instead of rolling, slow your hand movement and keep it close to their nose. If they resist rolling fully, reward for smaller movements like shifting onto their side and gradually build up. If they seem uncomfortable, try a softer surface or end the session and try again later.",Down,"Advanced Tricks, Body Awareness Games, Cooperative Handling",Use a soft mat or carpeted area and prepare high-value treats. Make sure your dog is relaxed and not overly excited before starting.,"Roll Over helps dogs become more comfortable with touch and handling, which can make grooming and vet care less stressful over time.",Performs a full roll with a clear lure indoors.,Performs a roll with minimal luring and light distractions.,Performs a roll on verbal cue alone in a variety of environments.,Week 14,Week 16,Week 18,Dog completes a full roll with your guidance.,Dog repeatedly pops up or refuses to roll.,"Dog rolls smoothly on a single cue without needing a hand lure, even in new places."
Touch (Hand Target),Foundational / Focus / Engagement,Beginner,1–2 weeks,"Level 1 by Week 6, Level 2 by Week 8, Level 3 by Week 10",Teaches the dog to touch your hand with their nose.,"Touch is a simple but powerful focus exercise that encourages your dog to interact with you. It can be used to redirect attention, build confidence, move your dog into position, and form the basis for many more complex tricks.",Present your hand.,Mark when your dog touches it.,Add the verbal cue.,"In a quiet room, hold your open hand a few centimetres from your dog’s nose. The moment they reach forward and touch your hand with their nose, mark and reward.",Repeat this several times until your dog is consistently touching your hand. Then begin saying 'Touch' just before presenting your hand.,"Once your dog understands, start varying the position of your hand (slightly higher, lower, or to the side) to help them generalize the behaviour.",,,Keep your hand close at first to make success easy. Use a happy voice and reward every touch during the early stages. Keep sessions short so your dog stays engaged.,"If your dog seems unsure and does not approach your hand, move it closer to their nose and wait patiently. If they lick or mouth your hand instead of touching gently, flatten your hand and reward only light touches. If they lose focus easily, reduce distractions and use higher-value treats.",Name Recognition,"Heel Engagement, Spin, Redirecting Arousal, Target-Based Tricks",Have small soft treats ready and choose a calm indoor space so your dog can concentrate.,"Touch is an excellent way to build engagement with shy or easily distracted dogs because it gives them a clear, simple job to succeed at.",Touches your hand reliably indoors with minimal distraction.,Can perform Touch in different rooms or the yard with some distractions.,Responds to the Touch cue in busy environments like parks or training classes.,Week 6,Week 8,Week 10,Dog touches your hand promptly when cued.,Dog avoids your hand or seems confused after several attempts.,Dog can target your hand confidently in any environment and in a variety of positions.
High Five,Fun / Trick / Confidence,Beginner,1–2 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Teaches the dog to raise a paw and tap your open hand.,High Five is a fun party trick that builds your dog’s confidence and comfort with having their paws handled. It can also be a stepping stone to other paw-based behaviours such as Wave or Shake.,Ask your dog to sit.,Present your open hand.,Reward when their paw touches your hand.,"Start with your dog in a sit. Hold your open palm a few centimetres in front of their chest. Many dogs will naturally lift a paw to investigate; as soon as their paw touches your hand, mark and reward.","If they do not offer a paw, you can first encourage pawing by holding a treat in your closed fist and rewarding for paw contact, then switch to the open palm once they understand.","When your dog is reliably touching your palm, add the cue 'High Five' just before you present your hand.",,,"Reward small efforts early on, such as tiny paw lifts. Keep your hand steady and at a comfortable height. Train on a non-slip surface so your dog feels secure.","If your dog tries to use their mouth instead of their paw, raise your hand slightly higher and only reward paw contact. If they swipe too hard, calmly withdraw your hand and reward calmer touches. If they seem confused, go back to rewarding simple paw lifts and build up again.",Sit,"Wave, Shake, Hug, Other Paw Tricks","Prepare small treats and work on a stable, non-slippery floor surface.",High Five encourages your dog to offer behaviours confidently and can make them more relaxed about having their paws handled during grooming or vet visits.,Offers a paw to your palm indoors with minimal distraction.,Performs a clear High Five with moderate distractions present.,Can High Five on cue in new environments and around other people.,Week 10,Week 12,Week 14,Dog taps your open palm with their paw when cued.,Dog avoids using their paw or becomes frustrated.,"Dog offers a calm, controlled High Five in a variety of situations and with different people."
Nose (Boop),Fun / Trick / Targeting,Beginner,1–2 weeks,"Level 1 by Week 6, Level 2 by Week 8, Level 3 by Week 10","Teaches the dog to gently tap a hand, finger, or small object with their nose.","Nose Boop is a cute targeting trick that also helps build precision and confidence. It can later be used in more advanced tasks like object targeting, pushing buttons, or interactive games.",Present a small target.,Mark when your dog boops it with their nose.,Add the verbal cue.,"Hold your hand, a finger, or a small target object a few centimetres from your dog’s nose. When they move forward and make contact with their nose, mark and reward immediately.","Repeat several times until your dog is reliably booping the target, then begin saying 'Boop' just before presenting it.","Once they understand, start to slowly vary the position of the target (slightly higher, lower, or to the side) to generalize the behaviour.",,,"Keep the target very close at first so the behaviour feels easy. Reward frequently to keep the dog motivated. Use calm, clear body language.","If your dog mouths or bites at the target, pause briefly and only reward gentle nose touches. If they ignore the target, use a larger, more obvious target such as your open hand before progressing to smaller objects. If they become distracted, reduce environmental stimulation.",Touch (Hand Target),"Object Targeting, Button Pushing, Send-Away Targeting",Choose a clear target (such as your hand or a small object) and prepare several small treats. Start in a quiet area.,Nose Boop is a great stepping stone into more complex targeting behaviours and gives nervous dogs a simple way to succeed.,Boops a target that is held very close in a quiet room.,Boops targets presented at different angles or positions with some distractions.,Boops small targets on cue in new or busy environments.,Week 6,Week 8,Week 10,Dog touches the target with their nose when cued.,Dog consistently avoids or mouths the target.,Dog confidently boops a variety of targets on cue in many different environments.
Bow,Fun / Trick / Body Awareness,Beginner–Intermediate,2–3 weeks,"Level 1 by Week 12, Level 2 by Week 14, Level 3 by Week 16",Teaches the dog to lower their front end while keeping hind legs standing.,"Bow improves flexibility, builds body awareness, and encourages confident stretching. It is a visually appealing trick and helps dogs become more comfortable with controlled posture changes.",Lure chest down.,Reward bow.,Add cue.,Start with your dog standing. Hold a treat near their nose and slowly lure their head downward and slightly forward so their chest lowers while their hind end stays up.,"Mark and reward the instant they hold the bow shape, even briefly.","When your dog consistently performs the motion, add the cue 'Bow' just before you begin luring.",,,"Use slow, smooth luring. Reward even partial bows. Train on a soft surface.","If the dog collapses into a down, lure slightly forward instead of straight down. If stiff, keep sessions short. If they seem confused, shape small movements first.",Stand,"Advanced Tricks, Stretch Exercises",Use a non-slip surface and medium-value treats.,Bow helps dogs learn precise body positioning and encourages healthy stretching habits.,Performs bow with lure.,Performs bow on cue.,Performs bow with distractions in new environments.,Week 12,Week 14,Week 16,Dog holds bow briefly.,Dog lies down or avoids.,Smooth controlled bow on cue anywhere.
Hug,Fun / Trick / Bonding,Intermediate,3–5 weeks,"Level 1 by Week 14, Level 2 by Week 18, Level 3 by Week 20",Teaches the dog to wrap their paws around an object or your arm.,"Hug is a cute bonding trick that helps dogs build confidence and controlled use of their paws. It can be taught using a stuffed toy first, then transferred to your arm.",Encourage paw lift.,Shape wrap-around.,Add cue.,"With your dog sitting, hold a stuffed toy or pillow close to their chest and reward any attempt to lift a paw toward it.",Gradually shape the behaviour until your dog wraps one or both paws around the object. Mark and reward every improvement.,Add the cue 'Hug' once your dog reliably performs the wrap.,,,Reward small steps. Avoid encouraging jumping. Keep sessions short.,"If your dog jumps up instead of hugging, reset by asking for sit. If unsure, use a familiar object. If stuck, break the movement into tiny shaping steps.","Sit, High Five","Pose Tricks, Confidence Tricks",Use a stuffed toy or pillow and high-value treats.,"Hug encourages controlled, gentle body contact and builds emotional connection.",Wraps paws with lure.,Wraps paws on cue.,Holds hug for several seconds in new settings.,Week 14,Week 18,Week 20,Dog places paws around object.,Dog jumps or avoids.,"Dog performs gentle, controlled hug on cue."
Hide (Hide Face / Shy),Fun / Trick / Body Awareness,Intermediate,3–6 weeks,"Level 1 by Week 14, Level 2 by Week 18, Level 3 by Week 20",Teaches the dog to cover their nose or face with their paw.,Hide is an adorable trick that improves paw awareness and confidence. It’s usually taught using a small piece of tape or sticker to prompt a natural paw swipe toward the face.,Prompt paw lift.,Shape face touch.,Add cue.,Place a small safe piece of tape lightly on your dog’s nose so they naturally lift a paw to swipe it off. Mark and reward when their paw touches their face.,Gradually shape the behaviour so they touch their nose without the tape. Reward small improvements.,Add the cue 'Hide' once the behaviour is reliable.,,,Use very light tape and limit use to a few repetitions. Reward instantly.,"If the dog gets irritated, remove tape promptly and reduce difficulty. If they swipe too hard, reduce excitement. If confused, reward tiny paw lifts and build gradually.","High Five, Paw Awareness","Advanced Tricks, Theatrical Tricks",Have soft treats and small pieces of safe tape ready.,Hide helps dogs learn fine motor control with their paws and is great for shaping complex behaviours.,Touches face with tape prompt.,Touches face on cue.,Performs hide anywhere reliably.,Week 14,Week 18,Week 20,Dog briefly covers nose.,Dog avoids behaviour.,"Smooth, cue-only face cover in different environments."
Kiss,Fun / Bonding / Trick,Beginner,1–2 weeks,"Level 1 by Week 6, Level 2 by Week 8, Level 3 by Week 10",Teaches the dog to gently touch their nose or mouth to your cheek or an object.,"Kiss is a simple bonding behaviour that encourages gentle, controlled interactions. It’s also easy to teach and can help dogs build comfort around close handling.",Present cheek or object.,Reward gentle nose touch.,Add cue.,Sit close to your dog and present your cheek or a designated target object (like a stuffed toy). Hold a treat behind the target so your dog leans forward.,"When they gently nose-touch the target, mark and reward.","Add the cue 'Kiss' once your dog performs the behaviour consistently, and gradually fade the lure.",,,Reward only gentle touches. Keep the target still. Use a clean object if avoiding direct face contact.,"If your dog licks too much, reward only for brief touches. If hesitant, use a familiar object first. If overly excited, take breaks and slow down the session.",Touch,"Hug, Spin, Other Bonding Tricks",Use a target object and small treats. Sit at your dog’s level.,"Kiss helps build trust, gentle behaviour, and positive close contact.",Performs kiss with lure.,Performs kiss on cue.,Performs kiss calmly around distractions.,Week 6,Week 8,Week 10,Dog performs gentle nose-touch.,Dog becomes overly excited or avoids.,Dog offers gentle controlled 'kiss' on cue in any environment.
Spin,Fun / Trick / Body Awareness,Beginner,1–2 weeks,"Level 1 by Week 8, Level 2 by Week 10, Level 3 by Week 12",Teaches the dog to spin in a full circle on cue.,"Spin is a fun, dynamic trick that improves body awareness, rear-end coordination, and responsiveness. It is easy to teach and serves as an excellent warm-up exercise before more advanced training.",Lure in a circle.,Mark spin.,Add verbal cue.,Hold a treat near your dog’s nose and lure them in a wide circle. Move slowly so they follow comfortably.,"When they complete the circle, mark and reward.","After several repetitions, add the cue 'Spin' just before beginning the lure. Gradually fade the lure until your dog performs the behaviour on verbal cue alone.",,,Keep circles large at first to prevent confusion. Work on a non-slip surface. Reward generously.,"If your dog stops halfway, lure more slowly. If they spin too wide, keep the treat closer. If confused, break the circle into halves.","Touch, Name Recognition","Figure-8, Weave Tricks, Dance Routines",Use small soft treats and practice in an open space.,"Spin builds enthusiasm and confidence, making it ideal as an early trick for shy or low-motivation dogs.",Spins with lure indoors.,Spins on cue with some distractions.,Spins reliably in new environments.,Week 8,Week 10,Week 12,Dog completes a full circle.,Dog stops or turns away.,Dog spins smoothly on cue without hand signals anywhere.
Bunny (Beg),Fun / Trick / Balance Training,Intermediate–Advanced,3–6 weeks,"Level 1 by Week 16, Level 2 by Week 20, Level 3 by Week 24",Teaches the dog to sit upright with front paws raised.,"Bunny (also called Beg) improves balance, core strength, and body control. It is adorable, physically challenging, and should be taught gradually to avoid strain.",Lure upward.,Build balance.,Add cue.,Begin with your dog in a sit. Hold a treat above their nose and slowly lure upward so they lift their front paws. Support lightly under their chest if needed.,Reward even brief moments of balance. Slowly build duration as their core strength improves.,Add the cue 'Beg' or 'Bunny' once they can hold the position reliably.,,,Train near a wall so your dog can steady themselves. Keep sessions short. Reward tiny progress.,"If your dog keeps falling backward, lure lower. If they get frustrated, reduce expectations. If weak core strength, train in very small increments.",Sit,"Advanced Balance Tricks, Sit Pretty Holds",Practice on soft flooring and use medium or high-value treats.,This trick significantly builds core strength—avoid overtraining and let your dog rest between reps.,Lifts paws briefly with lure.,Holds beg for 1–2 seconds on cue.,Holds beg for several seconds with distractions.,Week 16,Week 20,Week 24,Dog lifts paws into upright position.,Dog leans or falls immediately.,Dog holds a controlled beg on cue in various environments.
Wipe Paws,Practical / Trick / Grooming,Intermediate,2–4 weeks,"Level 1 by Week 14, Level 2 by Week 16, Level 3 by Week 18",Teaches the dog to wipe their paws on a mat before entering the house.,Wipe Paws is a useful behaviour that helps keep floors clean and builds independence during grooming tasks. It uses a natural digging motion that most dogs easily shape.,Use mat.,Mark scratches.,Add cue.,Place a textured mat or towel on the ground. Encourage your dog to stand on it and reward any paw movement resembling a scratch.,"When your dog begins pawing the mat, mark and reward multiple scratches in a row.","Add the cue 'Wipe' or 'Paws' once your dog reliably performs the motion, and gradually move the mat toward doorways for real-life use.",,,Choose a mat with grip. Reward multiple paw strokes. Keep sessions playful.,"If your dog won’t scratch, hide a treat under the mat to encourage digging. If they over-excite, pause briefly. If they scratch the floor instead, reduce excitement and reposition the mat.",Digging Instinct Behaviours,"Grooming Cooperation, Advanced Household Behaviours",Use a textured doormat and soft treats. Begin indoors first.,"Wipe Paws channels natural digging into a useful task, improving cleanliness and self-help behaviours.",Offers 1–2 scratches on mat.,Wipes paws several times on cue.,Performs full paw wipe sequence at doorways.,Week 14,Week 16,Week 18,Dog scratches mat on cue.,Dog avoids or scratches unrelated surfaces.,Dog reliably wipes paws before entering the house.
Tell a Secret,Fun / Trick / Interaction,Intermediate,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 16, Level 3 by Week 18",Teaches the dog to place their nose or mouth near your ear as if whispering.,Tell a Secret is an adorable interactive trick that reinforces gentle behaviour and controlled movement near your face. It photographs well and is a favourite for kids.,Use hand target.,Lure to ear.,Add cue.,Start by teaching your dog to target your hand near your cheek or ear with gentle nose touches.,Gradually fade the hand and lure your dog closer to your ear. Mark and reward when they place their nose near your ear in a calm manner.,Add the cue 'Secret' or 'Tell me a secret' once your dog performs the motion consistently. Keep rewards calm to maintain gentleness.,,,"Reward only soft, gentle touches. Keep the dog calm. Sit at their level for clarity.","If the dog licks excessively, reward only brief touches. If overly excited, slow the session and use lower-value treats. If hesitant, use a larger target hand fade gradually.",Touch,"Kiss, Hug, Whisper Tricks",Sit at your dog’s level and use soft treats. Begin in a quiet space.,"Tell a Secret teaches refined, gentle interaction and is excellent for dogs learning emotional control.",Touches near ear with lure.,Performs secret motion on cue.,Performs in distracting or public settings.,Week 12,Week 16,Week 18,Dog gently places nose near ear.,Dog becomes overly excited or avoids.,"Dog performs controlled, gentle 'secret' behaviour on cue anywhere."
Snake (Weave Between Legs),Fun / Trick / Body Awareness,Intermediate,2–4 weeks,"Level 1 by Week 14, Level 2 by Week 18, Level 3 by Week 20",Teaches the dog to weave through your legs in a flowing pattern.,"Snake is a stylish trick that builds confidence, rear-end awareness, and coordination. It helps dogs learn to move through tight spaces and stay connected to the handler.",Lure through legs.,Reward each weave.,Add cue.,"Stand with legs apart. Lure your dog through your legs from front to back, marking and rewarding as soon as they pass fully through.","Repeat the movement from alternating sides, rewarding each successful weave.","Once your dog begins to anticipate the pattern, add the cue 'Snake' and gradually fade the lure, encouraging a smooth continuous flow.",,,Keep your stance wide so the dog feels safe. Move slowly at first. Reward after each leg pass.,"If your dog hesitates, widen your stance or lower the lure. If they go around instead of through, guide closer to your leg. If overwhelmed, take short breaks.","Touch, Spin","Figure-8 Weaves, Dance Routines, Advanced Heelwork",Use treats and practice on a non-slip surface with plenty of space.,Snake builds fluid motion skills and strengthens connection during trick routines.,Performs single weave with lure.,Performs multiple weaves with cue.,Performs smooth flowing weaves without lure in public spaces.,Week 14,Week 18,Week 20,Dog weaves calmly through legs.,Dog avoids leg space or stops midway.,Dog performs continuous weaves smoothly on cue.
Jump on the Back,Advanced Trick / Confidence / Stunt,Advanced,4–8 weeks,"Level 1 by Week 20, Level 2 by Week 26, Level 3 by Week 30",Teaches the dog to gently hop onto your back from a controlled position.,"Jump on the Back is a dramatic stunt trick requiring strong trust, physical control, and handler stability. It must be taught slowly to ensure safety.",Teach platform jump.,Transfer to back.,Add cue.,"Start by encouraging your dog to jump onto a low, stable platform behind you. Reward heavily for confident stepping or hopping.",Gradually lower the platform and position yourself in a kneeling or crouched position so your back mimics the platform shape.,"When your dog is comfortable stepping onto your back, add the cue such as 'Back' and slowly transition to a standing position over time.",,,Use a soft surface. Keep your back stable. Move slowly and reward tiny steps.,"If the dog hesitates, raise the platform height again. If they scramble or lose balance, lower difficulty. If nervous, keep sessions extremely short.","Confidence-Based Tricks (Spin, Jump Over Arm)","Agility Jumps, Performance Routines",Use a training platform and choose a soft grass or mat surface.,This trick requires trust—go slowly and stop immediately if your dog seems unsure.,Steps onto back from platform.,Steps onto crouched back on cue.,Jumps onto standing back confidently.,Week 20,Week 26,Week 30,Dog steps onto back calmly.,Dog avoids or panics.,Dog performs stable controlled back stand on cue.
Jump Into Arms,Advanced Trick / Confidence / Stunt,Advanced,4–8 weeks,"Level 1 by Week 20, Level 2 by Week 26, Level 3 by Week 30",Teaches the dog to jump safely into your arms on cue.,"Jump Into Arms is a high-trust, high-confidence trick requiring excellent coordination and controlled jumping. Teaching this trick properly prevents injury and builds a strong partnership.",Teach front paws.,Add small hops.,Catch safely.,Begin seated or kneeling. Encourage your dog to place front paws on your chest. Reward calmly.,Gradually increase distance so the dog begins doing small hops toward your arms.,"When both of you are comfortable, open your arms and support the dog’s weight as they hop up. Slowly build height, working toward a controlled jump into standing arms.",,,Always keep knees bent and catch low at first. Support your dog’s body fully. Keep sessions short to avoid strain.,"If the dog is nervous, stay at the paw-on-chest stage longer. If jumping too high, reduce excitement. If your dog twists midair, lower the distance.","Sit, Name Recognition, Reliable Recall","Performance Tricks, Stunt Routines",Use soft flooring and practice low jumps first. Warm up shoulders and core.,This trick relies on physical safety—go extremely slow and stop if your dog shows hesitation.,Small hops into arms.,Controlled mid-height jumps.,Full-height jump with stable landing.,Week 20,Week 26,Week 30,Dog hops gently into arms.,Dog avoids or jumps dangerously.,Dog performs safe controlled jump into arms on cue.
Jump Through the Circle,Fun / Trick / Agility Foundations,Intermediate,2–4 weeks,"Level 1 by Week 14, Level 2 by Week 18, Level 3 by Week 20",Teaches the dog to jump through a hoop or your arms in a circle shape.,"Jump Through the Circle builds agility skills, body awareness, and confident jumping. It is visually impressive and improves focus and precision.",Present circle.,Lure jump.,Add cue & increase height.,Hold your arms or a hoop low and wide. Lure your dog through the opening and reward immediately.,"Gradually raise the circle slightly and reduce reliance on the lure, encouraging your dog to jump through confidently.","Add the cue such as 'Through' once consistent, and slowly increase height or distance depending on the dog’s confidence and athleticism.",,,Start with a very low opening. Reward generously. Keep jumps small to protect joints.,"If the dog tries to go around instead of through, block the sides gently. If they hesitate, make the opening larger. If nervous, practice with the hoop placed on the ground first.","Sit, Basic Jumping Confidence","Agility Jumps, Trick Sequences",Use a hoop or form a human circle with arms. Practice on grass or soft flooring.,Jump-through tricks are excellent for building athletic confidence safely when taught gradually.,Steps or hops through low circle.,Jumps through mid-height circle on cue.,Performs full-height or running jumps in distracting environments.,Week 14,Week 18,Week 20,Dog jumps through opening.,Dog avoids circle.,Dog jumps confidently through any circle on cue.
Jump Over the Arm,Fun / Trick / Agility Foundations,Intermediate,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 16, Level 3 by Week 18",Teaches the dog to jump safely over your outstretched arm.,"Jump Over the Arm is a fun and athletic trick that improves coordination, precision, and confidence. It teaches dogs how to judge height, jump safely, and follow body cues.",Start low.,Lure jump.,Add cue and height.,Sit or kneel and extend your arm very low to the ground. Use a treat to lure your dog over your arm and reward immediately.,Slowly raise your arm a few centimetres at a time as your dog becomes confident.,"Add your verbal cue such as 'Over!' once the behaviour becomes predictable, gradually phasing out the lure.",,,Keep jumps very low at first. Reward enthusiasm. Train on soft surfaces.,"If your dog goes around, block the sides gently. If hesitant, lower your arm. If they knock your arm, reduce height and rebuild confidence.","Basic Jumping Confidence, Sit, Touch","Circle Jumps, Agility Bars, Trick Routines","Train on grass or mats, use medium-value treats, keep your arm stable.",This trick builds confidence in controlled jumping and body awareness.,Hops over very low arm.,Jumps over moderate height calmly.,Performs high or running jumps on cue.,Week 12,Week 16,Week 18,Dog jumps over arm consistently.,Dog avoids or goes around.,"Dog performs smooth, confident jumps on cue anywhere."
Play Dead / 'Bang',Fun / Trick / Body Awareness,Intermediate,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 14, Level 3 by Week 16",Teaches the dog to lie on their side and remain still as if 'playing dead.',"Play Dead is a theatrical trick that builds impulse control, body awareness, and confidence in holding still. It also strengthens handling comfort because the dog learns to relax on their side.",Lure onto side.,Add stillness.,Add cue.,Begin with your dog in a down position. Lure their head toward their shoulder until they roll onto their side. Mark and reward.,Add the cue 'Bang!' or 'Play Dead' once the behaviour is predictable and begin phasing out the lure.,,,,Use soft flooring. Keep sessions calm. Reward calm stillness.,"If your dog pops up quickly, reduce duration expectations. If they won’t roll fully, reward partial side-lying. If unsure, use very slow lures and reward heavily.","Down, Roll Over","Advanced Theatrical Tricks, Calm Handling Behaviours",Use a soft mat and quiet space.,This trick helps dogs build trust and comfort with handling and relaxation.,Rolls onto side with lure.,Holds still briefly on cue.,Performs dramatic play-dead in busy settings.,Week 12,Week 14,Week 16,Dog rolls onto side and remains still.,Dog pops up immediately or resists.,"Dog performs a long, calm play-dead on cue anywhere."
Down-Stay,Foundational / Obedience / Impulse Control,Beginner–Intermediate,2–4 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Teaches the dog to lie down and remain there until released.,"Down-Stay builds impulse control, reliability, and calmness. It helps dogs learn to hold positions despite distractions, which is essential for real-life manners, safety, and advanced training.",Ask for down.,Add duration.,Add distractions and distance.,Cue your dog to lie down. Mark and reward instantly.,"Add distractions such as small movements, stepping away, or placing treats nearby. Eventually proof in new environments.",,,,Start with very short durations. Reward frequently. Always release clearly with a release word.,"If the dog breaks position, reduce duration or distractions. If they keep sitting up, reward more frequently. If distracted, move to a quieter environment.","Down, Release Cue","Sit-Stay, Mat Work, Extended Holds",Use a soft mat and small treats. Start in a quiet room.,"Down-Stay teaches patience, calmness, and self-control—skills needed throughout life.",Holds down for 5–10 seconds.,Holds down with mild distractions.,Holds down in public for long periods.,Week 10,Week 12,Week 14,Dog remains in down until released.,Dog breaks repeatedly.,"Dog maintains down-stay through distractions, distance, and duration."
Sit-Stay,Foundational / Obedience / Impulse Control,Beginner–Intermediate,2–4 weeks,"Level 1 by Week 10, Level 2 by Week 12, Level 3 by Week 14",Teaches the dog to remain in a sitting position until released.,"Sit-Stay improves discipline, impulse control, and reliability. It is a fundamental obedience behaviour needed for safe public behaviour, greeting manners, and everyday home routines.",Ask for sit.,Add duration.,Add distractions and distance.,"Cue your dog to sit, then reward immediately.",Add duration by waiting a few seconds before rewarding again. Gradually extend the time.,"Add distractions such as stepping away, opening a door, or placing toys nearby. Eventually practice in busier environments.",,,Reward frequently at first. Use clear release cues. Keep early sessions short.,"If the dog breaks position, reduce expectations. If they slide into a down, shorten duration. If distracted, practice indoors first.","Sit, Release Cue","Down-Stay, Heel, Greeting Manners",Use treats and start in a quiet room.,Sit-Stay creates reliable manners and teaches dogs to pause and think before acting.,Holds sit for 5–10 seconds.,Holds sit with mild distractions.,Holds sit in public for extended periods.,Week 10,Week 12,Week 14,Dog remains sitting until release.,Dog breaks repeatedly.,Performs solid sit-stay in all environments and scenarios.
Come Front,Obedience / Positioning,Intermediate,2–4 weeks,"Level 1 by Week 12, Level 2 by Week 16, Level 3 by Week 20",Dog comes and sits neatly in front of you.,"Come Front is a precise recall position used in obedience and everyday life. It builds accuracy, focus, and handler engagement.",Call dog.,Lure into front sit.,Add cue.,Begin by calling your dog toward you using an excited tone.,"As they approach, lure them into a straight sit facing you. Mark and reward.",Add the cue 'Front' once they reliably move into position. Gradually fade the lure and increase distance.,,,Reward frequently. Keep your body still. Use straight-line setups.,"If crooked, use a wall to guide alignment. If stopping short, use higher-value treats. If distracted, shorten distance.","Recall, Sit","Finish, Heel, Formal Obedience",Use treats and clear approach path.,Front position teaches precision and strengthens recall.,Comes to front with lure.,Sits straight with cue.,Performs from distance with distractions.,Week 12,Week 16,Week 20,Dog sits neatly in front.,Dog misaligns.,Dog performs perfect fronts consistently.
Finish (Left Finish),Obedience / Heelwork,Intermediate,2–4 weeks,"Level 1 by Week 14, Level 2 by Week 18, Level 3 by Week 20",Dog swings into heel position from the front sit.,Finish teaches a dog to rotate or swing into perfect heel position. It improves precision and supports advanced obedience.,Start in front.,Lure around left.,Reward heel sit.,"With your dog sitting in Front, lure them around your left leg in a half-circle into Heel.",Mark when they arrive straight at your side.,Add the cue 'Finish' as the dog begins the motion. Fade lure over time.,,,Move slowly. Reward when straight. Keep stance steady.,"If wide, lure closer. If confused, shorten arc. If cutting behind, guide with a treat.","Come Front, Sit","Heelwork, Obedience Sequences",Use small treats and practice indoors.,Finish teaches precise hind-end movement and heel alignment.,Performs finish with lure.,Performs on cue.,Performs clean finish in busy places.,Week 14,Week 18,Week 20,Dog aligns in heel.,Dog stops crooked.,Dog swings smoothly into heel.
Side (Right Heel),Obedience / Positioning,Intermediate,2–4 weeks,"Level 1 by Week 14, Level 2 by Week 18, Level 3 by Week 20",Dog positions on handler’s right side.,"Side mirrors Heel but on the right, teaching versatility and improving body awareness.",Lure into right side.,Mark sit.,Add cue.,Stand still and lure your dog to your right side.,"When they sit straight beside you, mark and reward.",Add the cue 'Side' and fade the lure with repetition.,,,Reward calm sits. Keep body position clear.,"If dog sits crooked, practice beside a wall. If lagging, use higher-value treats.","SIt, Basic Positioning","Right-Side Heelwork, Advanced Obedience",Use treats and a quiet space.,Side improves symmetry and handler focus.,Sits in Side with lure.,Moves into Side on cue.,Maintains Side in public or during movement.,Week 14,Week 18,Week 20,Dog sits straight on right.,Dog crooked.,Dog consistently positions cleanly on cue.
