breed,origin,life_span_years,male_weight_adult_kg_min,male_weight_adult_kg_max,male_weight_6m_kg_min,male_weight_6m_kg_max,female_weight_adult_kg_min,female_weight_adult_kg_max,female_weight_6m_kg_min,female_weight_6m_kg_max,temperament,exercise_needs,trainability,coat,grooming,common_health_issues,recognized_by,also_known_as,fci_group,exercise_level,grooming_needs,enrichment_confidence,weights_confidence,health_notes_confidence,recommended_screenings,health_watchlist_tags,health_prevalence_notes
Bulldog,England,8–10,9.0,25.0,5.9,16.5,8.0,23.0,5.3,15.2,"docile, friendly",Moderate (45–60 min/day),Moderate,Varies (often double),Low–Moderate,hip dysplasia; BOAS (for brachy breeds); allergies; brachycephalic obstructive airway syndrome (BOAS); heat intolerance; ocular issues (corneal/entropion risk),"AKC, FCI",,,Low,High (wrinkles/airway),breed-specific,breed-specific,pattern-based (well-established risks),airway exam for BOAS risk; eye exam (CAER); airway exam before anesthesia; weight management counseling,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia,BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.
Bullmastiff,England,7–9,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,"brave, affectionate",Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat;orthopedic disease;cardiomyopathy,"AKC, FCI",,2.0,Moderate,Low,breed-specific,breed-specific,,hips (OFA/FCI); elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Gastrointestinal; Orthopedic; Ophthalmic; Cardiac; Endocrine,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Cairn Terrier,Scotland,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,"alert, cheerful",High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Low,breed-specific,breed-specific,,,,
Canaan Dog,Israel,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Cane Corso,Italy,10–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,"confident, protective",High (60–120 min/day),Moderate,Short/medium double,Low–Moderate,hip dysplasia;bloat;heart issues,"AKC, FCI",,2.0,High,Low,breed-specific,breed-specific,,hips (OFA/FCI); elbows (OFA/FCI); hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Orthopedic; Ophthalmic; Cardiac; Endocrine,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Cardigan Welsh Corgi,Wales,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,"affectionate, vigilant","Very High (90–120+ min/day, mental work)",Easy,Double; medium,Moderate,hip dysplasia; CEA; MDR1 sensitivity; intervertebral disc disease (IVDD) predisposition; degenerative myelopathy (DM),"AKC, FCI",,1.0,Moderate,Moderate (shedding),breed-specific,breed-specific,pattern-based (well-established risks),DM DNA test; core orthopedic evaluation,Neurologic; Orthopedic,IVDD risk elevated; DM occurs in the breed.
Carolina Dog,United States,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Catahoula Leopard Dog,United States (Louisiana),11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Caucasian Shepherd Dog,Caucasus region,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia;CEA;MDR1 sensitivity,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Orthopedic; Ophthalmic; Cardiac; Endocrine,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Cavalier King Charles Spaniel,England,12–15,16.0,25.0,10.6,16.5,14.0,23.0,9.2,15.2,"gentle, sociable",High (60–90 min/day),Easy,Medium feathered,Moderate–High,ear infections; hip dysplasia; eye issues; mitral valve disease (high prevalence); syringomyelia,"AKC, FCI",,9.0,Moderate,Moderate (ears),breed-specific,breed-specific,pattern-based (well-established risks),cardiac auscultation/echo (MVD screening); eye exam (CAER); annual cardiac auscultation/echo ≥3–5y; hips/elbows (OFA/FCI); ear care plan; skin/coat checks; patellar exam; routine dental care,Cardiac; Neurologic; Ophthalmic; Otic; Dermatologic; Orthopedic; Dental,Mitral valve disease prevalence very high; syringomyelia reported in the breed.; Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Central Asian Shepherd Dog,Central Asia,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia;CEA;MDR1 sensitivity,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Orthopedic; Ophthalmic; Cardiac; Endocrine,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Cesky Terrier,Czech Republic,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,FCI,,3.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Chesapeake Bay Retriever,United States,10–13,25.0,36.0,15.0,21.6,20.0,32.0,12.0,19.2,"loyal, tireless",High (90–120 min/day),Moderate,Medium feathered or short,Moderate,hip/elbow dysplasia;ear infections;allergies,"AKC, FCI",,8.0,High,Moderate (oily coat),breed-specific,breed-specific,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Chihuahua,Mexico,14–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,"alert, loyal",Low–Moderate (20–40 min/day),Moderate,Short or long; varies,Low to High (breed-specific),dental disease; luxating patellas; tracheal collapse; dental disease prevalence (toy breeds); patellar luxation,"AKC, FCI",,9.0,Low,Low,breed-specific,breed-specific,pattern-based (well-established risks),patellar exam; routine dental care,Dental; Orthopedic,Dental disease and patellar luxation are common in toy breeds.
Chinese Crested Dog,China,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Chinese Shar-Pei,China,10–13,9.0,25.0,5.9,16.5,8.0,23.0,5.3,15.2,dignified;loyal;independent,Moderate (45–60 min/day),Moderate,Varies (often double),Low–Moderate,hip dysplasia; BOAS (for brachy breeds); allergies; Shar‑Pei fever/amyloidosis; entropion,"AKC, FCI",,,Moderate,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),,,
Chinook,United States,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Chow Chow,China,9–14,20.0,35.0,12.0,21.0,16.0,30.0,9.6,18.0,"dignified, independent",High (90–120 min/day),Challenging,Thick double,Moderate–High (seasonal blowouts),hip dysplasia;eye issues;zinc deficiency,"AKC, FCI",,5.0,Moderate,High (coat),breed-specific,breed-specific,,,,
Cirneco dell’Etna,Italy (Sicily),11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,"AKC, FCI",,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Clumber Spaniel,England,10–12,16.0,25.0,10.6,16.5,14.0,23.0,9.2,15.2,"mellow, loyal",High (60–90 min/day),Moderate,Medium feathered,Moderate–High,ear infections;hip dysplasia;eye issues,"AKC, FCI",,8.0,Moderate,Moderate,breed-specific,breed-specific,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Cockapoo,United States,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Collie,Scotland,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia; CEA; MDR1 sensitivity; MDR1 (ABCB1) drug sensitivity (screening recommended); collie eye anomaly (CEA) in some lines,FCI,,1.0,High,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips (OFA/FCI); CEA/eye exam (CAER); MDR1 DNA test; eye exam (CAER),Pharmacogenetics; Ophthalmic,MDR1 drug sensitivity occurs in herding breeds; collie eye anomaly (CEA) in some lines.
Coton de Tulear,Madagascar,14–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,"happy, charming",Low–Moderate (20–40 min/day),Easy,Short or long; varies,Low to High (breed-specific),dental disease;luxating patellas;tracheal collapse,FCI,,9.0,Moderate,High (coat),breed-specific,breed-specific,,patellar exam; routine dental care; eye exam (CAER),Dental; Orthopedic; Ophthalmic,Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Curly-Coated Retriever,England,10–12,25.0,36.0,15.0,21.6,20.0,32.0,12.0,19.2,"confident, smart",High (90–120 min/day),Moderate,Medium feathered or short,Moderate,hip/elbow dysplasia;ear infections;allergies,"AKC, FCI",,8.0,High,Moderate,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Cão Fila de São Miguel,Portugal (Azores),11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Dachshund,Germany,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia; eye disorders; intervertebral disc disease (IVDD) predisposition,"AKC, FCI",,4.0,Moderate,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),neuro exam if signs; body condition/weight control,Neurologic; Orthopedic,IVDD risk very high; back care critical.
Dalmatian,Croatia (Dalmatia),10–13,9.0,25.0,5.9,16.5,8.0,23.0,5.3,15.2,dignified;loyal;independent,Moderate (45–60 min/day),Moderate,Varies (often double),Low–Moderate,hip dysplasia; BOAS (for brachy breeds); allergies; congenital sensorineural deafness (recommend BAER testing); urate urolithiasis (SLC2A9),"AKC, FCI",,,Moderate,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),BAER hearing test; urinalysis; diet review (purine),Audiology; Urologic,Congenital deafness risk notable; urate urolithiasis risk due to purine handling.
Dandie Dinmont Terrier,Scotland,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,FCI,,3.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Danish-Swedish Farmdog,Denmark/Sweden,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Doberman Pinscher,Germany,9–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,confident;protective;calm,High (60–120 min/day),Moderate–High,Short/medium double,Low–Moderate,hip dysplasia; bloat; heart issues; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds; cervical spondylomyelopathy (Wobbler syndrome),"AKC, FCI",,2.0,Moderate,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips (OFA/FCI); elbows (OFA/FCI); echocardiogram/Holter (DCM screening); vWD DNA test; thyroid panel; annual Holter + echocardiogram (DCM); thyroid panel if indicated; owner education on bloat; consider prophylactic gastropexy where appropriate,Cardiac; Hematologic; Neurologic; Gastrointestinal,DCM risk elevated; vWD occurs; cervical spondylomyelopathy (Wobbler) seen.; Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.
Dogo Argentino,Argentina,9–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,confident;protective;calm,High (60–120 min/day),Moderate–High,Short/medium double,Low–Moderate,hip dysplasia; bloat; heart issues; pigment‑associated deafness (BAER recommended),FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,,BAER hearing test; hips (OFA/FCI),,
Dogo Canario,Spain,9–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,confident;protective;calm,High (60–120 min/day),Moderate–High,Short/medium double,Low–Moderate,hip dysplasia;bloat;heart issues,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,,,,
Dogue de Bordeaux,France,7–10,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,gentle;steady;protective,Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat;orthopedic disease;cardiomyopathy,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Orthopedic; Ophthalmic; Cardiac; Endocrine,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Drentsche Patrijshond,Netherlands (Drenthe),11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,,,
Dutch Shepherd,Netherlands,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia;CEA;MDR1 sensitivity,FCI,,1.0,High,Moderate,breed-specific,breed-specific estimate,,,,
English Bulldog,England,10–13,9.0,25.0,5.9,16.5,8.0,23.0,5.3,15.2,dignified;loyal;independent,Moderate (45–60 min/day),Moderate,Varies (often double),Low–Moderate,hip dysplasia; BOAS (for brachy breeds); allergies; brachycephalic obstructive airway syndrome (BOAS); heat intolerance; ocular issues (corneal/entropion risk); hemivertebrae (spinal malformations),FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),airway exam for BOAS risk; eye exam (CAER); airway exam before anesthesia; weight management counseling,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia,BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.
English Cocker Spaniel,England,11–14,16.0,25.0,10.6,16.5,14.0,23.0,9.2,15.2,gentle;obedient;enthusiastic,High (60–90 min/day),High,Medium feathered,Moderate–High,ear infections; hip dysplasia; eye issues; otitis externa (ear infections); hereditary eye disease (PRA/cataract risk),FCI,,8.0,High,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
English Foxhound,England,10–14,20.0,35.0,12.0,21.0,18.0,32.0,10.8,19.2,independent;gentle;prey-driven,High (60–120 min/day),Moderate (scent/sight driven),Short or medium,Low to Moderate,hip dysplasia;ear infections;eye disorders,"AKC, FCI",,,Moderate,Moderate,breed-specific,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
English Setter,England,11–14,25.0,36.0,15.0,21.6,20.0,32.0,12.0,19.2,friendly;people-pleasing;active,High (90–120 min/day),High,Medium feathered or short,Moderate,hip/elbow dysplasia; ear infections; allergies; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds,"AKC, FCI",,7.0,High,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); eye exam (CAER),Gastrointestinal; Orthopedic; Ophthalmic,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
English Springer Spaniel,England,11–14,16.0,25.0,10.6,16.5,14.0,23.0,9.2,15.2,gentle;obedient;enthusiastic,High (60–90 min/day),High,Medium feathered,Moderate–High,ear infections;hip dysplasia;eye issues,"AKC, FCI",,8.0,High,Moderate,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
English Toy Spaniel,England,11–14,16.0,25.0,10.6,16.5,14.0,23.0,9.2,15.2,gentle;obedient;enthusiastic,High (60–90 min/day),High,Medium feathered,Moderate–High,ear infections;hip dysplasia;eye issues,FCI,,9.0,Low,Varies,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks; patellar exam; routine dental care; eye exam (CAER),Otic; Dermatologic; Orthopedic; Dental; Ophthalmic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.
Entlebucher Mountain Dog,Switzerland,7–10,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,gentle;steady;protective,Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat;orthopedic disease;cardiomyopathy,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Orthopedic; Ophthalmic; Cardiac; Endocrine,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Estrela Mountain Dog,Portugal,7–10,50.0,80.0,25.0,40.0,45.0,70.0,22.5,35.0,gentle;steady;protective,Moderate (45–60 min/day),Moderate,Short/medium,Low–Moderate,bloat;orthopedic disease;cardiomyopathy,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),Orthopedic; Ophthalmic; Cardiac; Endocrine,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.
Eurasier,Germany,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Field Spaniel,England,11–14,16.0,25.0,10.6,16.5,14.0,23.0,9.2,15.2,gentle;obedient;enthusiastic,High (60–90 min/day),High,Medium feathered,Moderate–High,ear infections;hip dysplasia;eye issues,"AKC, FCI",,8.0,High,Moderate,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Finnish Lapphund,Finland,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia;CEA;MDR1 sensitivity,FCI,,5.0,High,Moderate,breed-specific,breed-specific estimate,,hips (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Nordic herders/spitz: hip dysplasia screening recommended; hereditary eye disease occurs in some lines.
Finnish Spitz,Finland,11–14,20.0,35.0,12.0,21.0,16.0,30.0,9.6,18.0,alert;independent;friendly,High (90–120 min/day),Moderate,Thick double,Moderate–High (seasonal blowouts),hip dysplasia;eye issues;zinc deficiency,FCI,,5.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Flat-Coated Retriever,England,11–14,25.0,36.0,15.0,21.6,20.0,32.0,12.0,19.2,friendly;people-pleasing;active,High (90–120 min/day),High,Medium feathered or short,Moderate,hip/elbow dysplasia; ear infections; allergies; cancer predisposition (breed‑associated),"AKC, FCI",,8.0,High,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips/elbows (OFA/FCI); ear care plan; skin/coat checks,Otic; Dermatologic; Orthopedic,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Fox Terrier,England,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,FCI,,3.0,High,Moderate,breed-specific,breed-specific estimate,,,,
French Bulldog,France,10–13,9.0,25.0,5.9,16.5,8.0,23.0,5.3,15.2,dignified;loyal;independent,Moderate (45–60 min/day),Moderate,Varies (often double),Low–Moderate,hip dysplasia; BOAS (for brachy breeds); allergies; brachycephalic obstructive airway syndrome (BOAS); heat intolerance; ocular issues (corneal/entropion risk); hemivertebrae (spinal malformations),"AKC, FCI",,9.0,Low,Varies,breed-specific,breed-specific estimate,pattern-based (well-established risks),airway exam for BOAS risk; eye exam (CAER); airway exam before anesthesia; weight management counseling,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia,BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.
German Pinscher,Germany,9–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,confident;protective;calm,High (60–120 min/day),Moderate–High,Short/medium double,Low–Moderate,hip dysplasia;bloat;heart issues,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,,,,
German Shepherd Dog,Germany,12–15,18.0,30.0,10.8,18.0,16.0,27.0,10.6,17.8,intelligent;loyal;energetic,"Very High (90–120+ min/day, mental work)",Very High,Double; medium,Moderate,hip dysplasia; CEA; MDR1 sensitivity; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds; degenerative myelopathy (DM),"AKC, FCI",,1.0,High,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips (OFA/FCI); elbows (OFA/FCI); DM DNA test; hips/elbows (OFA/FCI); owner education on bloat; consider prophylactic gastropexy where appropriate,Orthopedic; Neurologic; Gastrointestinal,Hip/elbow dysplasia risk elevated; degenerative myelopathy (DM) occurs.; Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.
German Shorthaired Pointer,Germany,11–14,25.0,36.0,15.0,21.6,20.0,32.0,12.0,19.2,friendly;people-pleasing;active,High (90–120 min/day),High,Medium feathered or short,Moderate,hip/elbow dysplasia;ear infections;allergies,"AKC, FCI",,7.0,High,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
German Wirehaired Pointer,Germany,11–14,25.0,36.0,15.0,21.6,20.0,32.0,12.0,19.2,friendly;people-pleasing;active,High (90–120 min/day),High,Medium feathered or short,Moderate,hip/elbow dysplasia;ear infections;allergies,"AKC, FCI",,7.0,High,Low,breed-specific,breed-specific estimate,,hips/elbows (OFA/FCI); eye exam (CAER),Orthopedic; Ophthalmic,Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Giant Schnauzer,Germany,9–12,35.0,60.0,17.5,30.0,30.0,50.0,18.0,30.0,confident;protective;calm,High (60–120 min/day),Moderate–High,Short/medium double,Low–Moderate,hip dysplasia;bloat;heart issues,FCI,,2.0,Moderate,Low,breed-specific,breed-specific estimate,,,,
Glen of Imaal Terrier,Ireland,12–15,7.0,12.0,4.6,7.9,6.0,11.0,4.5,8.2,bold;feisty;energetic,High (60–90 min/day),Moderate,Wire/broken or smooth,Moderate (hand-stripping for some),patellar luxation;skin issues;lens luxation,"AKC, FCI",,3.0,High,Moderate,breed-specific,breed-specific estimate,,,,
Golden Retriever,Scotland,11–14,25.0,36.0,15.0,21.6,20.0,32.0,12.0,19.2,friendly;people-pleasing;active,High (90–120 min/day),High,Medium feathered or short,Moderate,hip/elbow dysplasia; ear infections; allergies; cancer predisposition (breed‑associated),"AKC, FCI",,8.0,High,Moderate,breed-specific,breed-specific estimate,pattern-based (well-established risks),hips (OFA/FCI); elbows (OFA/FCI); hips/elbows (OFA/FCI); regular lump checks; ear care plan; skin/coat checks,Oncologic; Orthopedic; Otic; Dermatologic,Cancer incidence elevated in the breed; hip/elbow dysplasia can occur.; Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.
Gordon Setter,Scotland,11–14,25.0,36.0,15.0,21.6,20.0,32.0,12.0,19.2,friendly;people-pleasing;active,High (90–120 min/day),High,Medium feathered or short,Moderate,hip/elbow dysplasia; ear infections; allergies; gastric dilatation–volvulus (bloat) risk in deep‑chested breeds,"AKC, FCI",,7.0,High,Low,breed-specific,breed-specific estimate,pattern-based (well-established risks),owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); eye exam (CAER),Gastrointestinal; Orthopedic; Ophthalmic,Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
Grand Bleu de Gascogne,France,11–14,10.0,22.0,6.6,14.5,9.0,20.0,5.9,13.2,loyal;alert;trainable,Moderate,Moderate,Varies,Low–Moderate,hip dysplasia;eye disorders,FCI,,6.0,High,Low,breed-specific,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks,Otic; Dermatologic; Weight,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.
Grand Griffon Vendéen,France,12–16,2.0,6.0,1.5,4.5,2.0,6.0,1.5,4.5,affectionate;alert;playful,Low–Moderate (20–40 min/day),Moderate–High,Short or long; varies,Low to High (breed-specific),dental disease;luxating patellas;tracheal collapse,FCI,,,Moderate,Moderate,breed-specific,breed-specific estimate,,regular ear checks/cleaning; skin/coat checks; hips/elbows (OFA/FCI); eye exam (CAER),Otic; Dermatologic; Weight; Orthopedic; Ophthalmic,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.
