Name,Coat,Common Health Issues,also_known_as,enrichment_confidence,exercise_level,exercise_needs,fci_group,female_weight_6m_kg_max,female_weight_6m_kg_min,female_weight_adult_kg_max,female_weight_adult_kg_min,grooming,grooming_needs,health_notes_confidence,health_prevalence_notes,health_watchlist_tags,life_span_years,male_weight_6m_kg_max,male_weight_6m_kg_min,male_weight_adult_kg_max,male_weight_adult_kg_min,origin,recognized_by,recommended_screenings,temperament,trainability,weights_confidence
Cavalier King Charles Spaniel,Medium feathered,"Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Mitral valve disease (MVD) (https://www.notion.so/Mitral-valve-disease-MVD-28ccf55ca088814990c0fc25dc0695c2?pvs=21), Syringomyelia (CM/SM) (https://www.notion.so/Syringomyelia-CM-SM-28ccf55ca08881eb8415ffa8f8eadd58?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–90 min/day),9,15.2,9.2,23,14,Moderate–High,Moderate (ears),pattern-based (well-established risks),Mitral valve disease prevalence very high; syringomyelia reported in the breed.; Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.,Cardiac; Neurologic; Ophthalmic; Otic; Dermatologic; Orthopedic; Dental,12–15,16.5,10.6,25,16,England,"AKC, FCI",cardiac auscultation/echo (MVD screening); eye exam (CAER); annual cardiac auscultation/echo ≥3–5y; hips/elbows (OFA/FCI); ear care plan; skin/coat checks; patellar exam; routine dental care,"gentle, sociable",Easy,breed-specific
Central Asian Shepherd Dog,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21)",,breed-specific,Moderate,"Very High (90–120+ min/day, mental work)",2,17.8,10.6,27,16,Moderate,Low,,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Orthopedic; Ophthalmic; Cardiac; Endocrine,12–15,18,10.8,30,18,Central Asia,FCI,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),intelligent;loyal;energetic,Very High,breed-specific estimate
Cesky Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,Czech Republic,FCI,,bold;feisty;energetic,Moderate,breed-specific estimate
Chesapeake Bay Retriever,Medium feathered or short,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21), Elbow dysplasia (https://www.notion.so/Elbow-dysplasia-28ccf55ca08881ccaa93fc093c8c7773?pvs=21)",,breed-specific,High,High (90–120 min/day),8,19.2,12,32,20,Moderate,Moderate (oily coat),,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,10–13,21.6,15,36,25,United States,"AKC, FCI",hips/elbows (OFA/FCI); ear care plan; skin/coat checks,"loyal, tireless",Moderate,breed-specific
Chihuahua,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21)",,breed-specific,Low,Low–Moderate (20–40 min/day),9,4.5,1.5,6,2,Low to High (breed-specific),Low,pattern-based (well-established risks),Dental disease and patellar luxation are common in toy breeds.,Dental; Orthopedic,14–16,4.5,1.5,6,2,Mexico,"AKC, FCI",patellar exam; routine dental care,"alert, loyal",Moderate,breed-specific
Chinese Crested Dog,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,China,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Chinese Shar-Pei,Varies (often double),"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Brachycephalic obstructive airway syndrome (BOAS) (https://www.notion.so/Brachycephalic-obstructive-airway-syndrome-BOAS-28ccf55ca08881f59cadf79e1f34086a?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21), Shar-Pei Fever / Amyloidosis (https://www.notion.so/Shar-Pei-Fever-Amyloidosis-28ccf55ca08880c2a317ffdee5b91170?pvs=21), Entropion/Ectropion (https://www.notion.so/Entropion-Ectropion-28ccf55ca088814ca7e5e44b2e11a22a?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),0,15.2,5.3,23,8,Low–Moderate,Moderate,pattern-based (well-established risks),,,10–13,16.5,5.9,25,9,China,"AKC, FCI",,dignified;loyal;independent,Moderate,breed-specific estimate
Chinook,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,United States,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Chow Chow,Thick double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Zinc deficiency (https://www.notion.so/Zinc-deficiency-7ba7ebcf17924e74a45ab470d6acf571?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (90–120 min/day),5,18,9.6,30,16,Moderate–High (seasonal blowouts),High (coat),,,,9–14,21,12,35,20,China,"AKC, FCI",,"dignified, independent",Challenging,breed-specific
Cirneco dell’Etna,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,5,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Italy (Sicily),"AKC, FCI",,loyal;alert;trainable,Moderate,breed-specific estimate
Clumber Spaniel,Medium feathered,"Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–90 min/day),8,15.2,9.2,23,14,Moderate–High,Moderate,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,10–12,16.5,10.6,25,16,England,"AKC, FCI",hips/elbows (OFA/FCI); ear care plan; skin/coat checks,"mellow, loyal",Moderate,breed-specific
Cockapoo,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,United States,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Collie,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21)",,breed-specific,High,"Very High (90–120+ min/day, mental work)",1,17.8,10.6,27,16,Moderate,Moderate,pattern-based (well-established risks),MDR1 drug sensitivity occurs in herding breeds; collie eye anomaly (CEA) in some lines.,Pharmacogenetics; Ophthalmic,12–15,18,10.8,30,18,Scotland,FCI,hips (OFA/FCI); CEA/eye exam (CAER); MDR1 DNA test; eye exam (CAER),intelligent;loyal;energetic,Very High,breed-specific estimate
Coton de Tulear,Short or long; varies,"Dental disease (https://www.notion.so/Dental-disease-85eac5bad071433f8fb0d9c655989c09?pvs=21), Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Tracheal collapse (https://www.notion.so/Tracheal-collapse-28ccf55ca088814d85accf9ca9a0e500?pvs=21)",,breed-specific,Moderate,Low–Moderate (20–40 min/day),9,4.5,1.5,6,2,Low to High (breed-specific),High (coat),,Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.,Dental; Orthopedic; Ophthalmic,14–16,4.5,1.5,6,2,Madagascar,FCI,patellar exam; routine dental care; eye exam (CAER),"happy, charming",Easy,breed-specific
Curly-Coated Retriever,Medium feathered or short,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Elbow dysplasia (https://www.notion.so/Elbow-dysplasia-28ccf55ca08881ccaa93fc093c8c7773?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21)",,breed-specific,High,High (90–120 min/day),8,19.2,12,32,20,Moderate,Moderate,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,10–12,21.6,15,36,25,England,"AKC, FCI",hips/elbows (OFA/FCI); ear care plan; skin/coat checks,"confident, smart",Moderate,breed-specific estimate
Cão Fila de São Miguel,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Portugal (Azores),FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Dachshund,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21), Intervertebral disc disease (IVDD) predisposition (https://www.notion.so/Intervertebral-disc-disease-IVDD-predisposition-e6d0d2095c9a430d8204298541359846?pvs=21)",,breed-specific,Moderate,Moderate,4,13.2,5.9,20,9,Low–Moderate,Moderate,pattern-based (well-established risks),IVDD risk very high; back care critical.,Neurologic; Orthopedic,11–14,14.5,6.6,22,10,Germany,"AKC, FCI",neuro exam if signs; body condition/weight control,loyal;alert;trainable,Moderate,breed-specific estimate
Dalmatian,Varies (often double),"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Brachycephalic obstructive airway syndrome (BOAS) (https://www.notion.so/Brachycephalic-obstructive-airway-syndrome-BOAS-28ccf55ca08881f59cadf79e1f34086a?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21), Congenital sensorineuraal deafness (https://www.notion.so/Congenital-sensorineuraal-deafness-28ccf55ca088804f9577fc6ad8a98dcf?pvs=21), Urolithiasis (urate/cystine) (https://www.notion.so/Urolithiasis-urate-cystine-28ccf55ca0888127aa11ca105cbef173?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),0,15.2,5.3,23,8,Low–Moderate,Moderate,pattern-based (well-established risks),Congenital deafness risk notable; urate urolithiasis risk due to purine handling.,Audiology; Urologic,10–13,16.5,5.9,25,9,Croatia (Dalmatia),"AKC, FCI",BAER hearing test; urinalysis; diet review (purine),dignified;loyal;independent,Moderate,breed-specific estimate
Dandie Dinmont Terrier,Wire/broken or smooth,"Patellar luxation (https://www.notion.so/Patellar-luxation-28ccf55ca08881dcad66cdbfff98018d?pvs=21), Skin issues (https://www.notion.so/Skin-issues-0204ec666dfa43b595daffb229708b0e?pvs=21), Lens luxation (https://www.notion.so/Lens-luxation-44b02200e7a64255a340e67f7a03af57?pvs=21)",,breed-specific,High,High (60–90 min/day),3,8.2,4.5,11,6,Moderate (hand-stripping for some),Moderate,,,,12–15,7.9,4.6,12,7,Scotland,FCI,,bold;feisty;energetic,Moderate,breed-specific estimate
Danish-Swedish Farmdog,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Denmark/Sweden,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Doberman Pinscher,Short/medium double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21), Heart issues (https://www.notion.so/Heart-issues-ed76893a1091458b898840deabe0dfdd?pvs=21), Cervical spondylomyelopathy (Wobbler) (https://www.notion.so/Cervical-spondylomyelopathy-Wobbler-28ccf55ca088817ca381c71236895877?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),2,30,18,50,30,Low–Moderate,Low,pattern-based (well-established risks),DCM risk elevated; vWD occurs; cervical spondylomyelopathy (Wobbler) seen.; Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.,Cardiac; Hematologic; Neurologic; Gastrointestinal,9–12,30,17.5,60,35,Germany,"AKC, FCI",hips (OFA/FCI); elbows (OFA/FCI); echocardiogram/Holter (DCM screening); vWD DNA test; thyroid panel; annual Holter + echocardiogram (DCM); thyroid panel if indicated; owner education on bloat; consider prophylactic gastropexy where appropriate,confident;protective;calm,Moderate–High,breed-specific estimate
Dogo Argentino,Short/medium double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Heart issues (https://www.notion.so/Heart-issues-ed76893a1091458b898840deabe0dfdd?pvs=21), Pigment‑associated deafness (https://www.notion.so/Pigment-associated-deafness-79894add431946aeb7bc4c35a225999d?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),2,30,18,50,30,Low–Moderate,Low,,,,9–12,30,17.5,60,35,Argentina,FCI,BAER hearing test; hips (OFA/FCI),confident;protective;calm,Moderate–High,breed-specific estimate
Dogo Canario,Short/medium double,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21), Heart issues (https://www.notion.so/Heart-issues-ed76893a1091458b898840deabe0dfdd?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),2,30,18,50,30,Low–Moderate,Low,,,,9–12,30,17.5,60,35,Spain,FCI,,confident;protective;calm,Moderate–High,breed-specific estimate
Dogue de Bordeaux,Short/medium,"Orthopedic disease (https://www.notion.so/Orthopedic-disease-cca3e9500b704b0ab3a96b93a12b8eef?pvs=21), Cardiomyopathy (https://www.notion.so/Cardiomyopathy-1cab53d364c94cb29bf3f22f97df4eac?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),2,35,22.5,70,45,Low–Moderate,Low,,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Orthopedic; Ophthalmic; Cardiac; Endocrine,7–10,40,25,80,50,France,FCI,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),gentle;steady;protective,Moderate,breed-specific estimate
Drentsche Patrijshond,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,Moderate,0,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Netherlands (Drenthe),FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Dutch Shepherd,Double; medium,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Collie Eye Anomaly (CEA) (https://www.notion.so/Collie-Eye-Anomaly-CEA-38701eb1cd5446c9bc08e1f5d1b2bcd0?pvs=21), MDR1 sensitivity (https://www.notion.so/MDR1-sensitivity-c1f6a3f9a2114d02b11d55dae344d9e0?pvs=21)",,breed-specific,High,"Very High (90–120+ min/day, mental work)",1,17.8,10.6,27,16,Moderate,Moderate,,,,12–15,18,10.8,30,18,Netherlands,FCI,,intelligent;loyal;energetic,Very High,breed-specific estimate
English Bulldog,Varies (often double),"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Brachycephalic obstructive airway syndrome (BOAS) (https://www.notion.so/Brachycephalic-obstructive-airway-syndrome-BOAS-28ccf55ca08881f59cadf79e1f34086a?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21), Heat intolerance (https://www.notion.so/Heat-intolerance-0bb86f455e634db1a4614f651c83e67e?pvs=21), Ocular issues (corneal/entropion risk) (https://www.notion.so/Ocular-issues-corneal-entropion-risk-306dd7fcd0624c4cbea60152969c40b4?pvs=21), hemivertebrae (spinal malformations) (https://www.notion.so/hemivertebrae-spinal-malformations-28ccf55ca08880c58a81f514f3391bb8?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),0,15.2,5.3,23,8,Low–Moderate,Moderate,pattern-based (well-established risks),BOAS prevalence high; heat intolerance common; ocular ulcer/entropion risk; vertebral malformations more frequent in screw‑tail breeds.,Respiratory; Ophthalmic; Spinal; Dermatologic; Anesthesia,10–13,16.5,5.9,25,9,England,FCI,airway exam for BOAS risk; eye exam (CAER); airway exam before anesthesia; weight management counseling,dignified;loyal;independent,Moderate,breed-specific estimate
English Cocker Spaniel,Medium feathered,"Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Otitis externa (https://www.notion.so/Otitis-externa-28ccf55ca08881939317d6cc708d6aea?pvs=21), hereditary eye disease (PRA/cataract risk) (https://www.notion.so/hereditary-eye-disease-PRA-cataract-risk-144f437f22b6453fade463cc44265030?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (60–90 min/day),8,15.2,9.2,23,14,Moderate–High,Moderate,pattern-based (well-established risks),Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,16.5,10.6,25,16,England,FCI,hips/elbows (OFA/FCI); ear care plan; skin/coat checks,gentle;obedient;enthusiastic,High,breed-specific estimate
English Foxhound,Short or medium,"Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Moderate,High (60–120 min/day),0,19.2,10.8,32,18,Low to Moderate,Moderate,,Drop‑eared scenthounds: otitis externa common; monitor weight and skin folds in heavier lines.,Otic; Dermatologic; Weight,10–14,21,12,35,20,England,"AKC, FCI",regular ear checks/cleaning; skin/coat checks,independent;gentle;prey-driven,Moderate (scent/sight driven),breed-specific estimate
English Setter,Medium feathered or short,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), Elbow dysplasia (https://www.notion.so/Elbow-dysplasia-28ccf55ca08881ccaa93fc093c8c7773?pvs=21), Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Allergies (https://www.notion.so/Allergies-1774994115ff45c78fdfb6f6f86dd8b2?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,High,High (90–120 min/day),7,19.2,12,32,20,Moderate,Low,pattern-based (well-established risks),Deep‑chested conformation: increased risk for gastric dilatation–volvulus (bloat); discuss prevention/early signs.; Field-bred gun dogs: hips/elbows screening standard; some lines carry hereditary eye disease.,Gastrointestinal; Orthopedic; Ophthalmic,11–14,21.6,15,36,25,England,"AKC, FCI",owner education on bloat; consider prophylactic gastropexy where appropriate; hips/elbows (OFA/FCI); eye exam (CAER),friendly;people-pleasing;active,High,breed-specific estimate
English Springer Spaniel,Medium feathered,"Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (60–90 min/day),8,15.2,9.2,23,14,Moderate–High,Moderate,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,16.5,10.6,25,16,England,"AKC, FCI",hips/elbows (OFA/FCI); ear care plan; skin/coat checks,gentle;obedient;enthusiastic,High,breed-specific estimate
English Toy Spaniel,Medium feathered,"Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,Low,High (60–90 min/day),9,15.2,9.2,23,14,Moderate–High,Varies,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.; Companion/toy breeds: dental disease and patellar luxation common; several have hereditary eye risks.,Otic; Dermatologic; Orthopedic; Dental; Ophthalmic,11–14,16.5,10.6,25,16,England,FCI,hips/elbows (OFA/FCI); ear care plan; skin/coat checks; patellar exam; routine dental care; eye exam (CAER),gentle;obedient;enthusiastic,High,breed-specific estimate
Entlebucher Mountain Dog,Short/medium,"Orthopedic disease (https://www.notion.so/Orthopedic-disease-cca3e9500b704b0ab3a96b93a12b8eef?pvs=21), Cardiomyopathy (https://www.notion.so/Cardiomyopathy-1cab53d364c94cb29bf3f22f97df4eac?pvs=21), Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),2,35,22.5,70,45,Low–Moderate,Low,,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Orthopedic; Ophthalmic; Cardiac; Endocrine,7–10,40,25,80,50,Switzerland,FCI,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),gentle;steady;protective,Moderate,breed-specific estimate
Estrela Mountain Dog,Short/medium,"Gastric dilatation–volvulus (GSV) (Bloat) (https://www.notion.so/Gastric-dilatation-volvulus-GSV-Bloat-28ccf55ca088817389b5e926c40493b2?pvs=21), Orthopedic disease (https://www.notion.so/Orthopedic-disease-cca3e9500b704b0ab3a96b93a12b8eef?pvs=21), Cardiomyopathy (https://www.notion.so/Cardiomyopathy-1cab53d364c94cb29bf3f22f97df4eac?pvs=21)",,breed-specific,Moderate,Moderate (45–60 min/day),2,35,22.5,70,45,Low–Moderate,Low,,Large guardians: hip/elbow disease risk; ectropion/entropion in some; cardiomyopathy/thyroid issues reported in certain lines.,Orthopedic; Ophthalmic; Cardiac; Endocrine,7–10,40,25,80,50,Portugal,FCI,hips/elbows (OFA/FCI); cardiac exam/echo as indicated; thyroid panel as indicated; eye exam (ectropion/entropion),gentle;steady;protective,Moderate,breed-specific estimate
Eurasier,Varies,"Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,Moderate,5,13.2,5.9,20,9,Low–Moderate,Moderate,,,,11–14,14.5,6.6,22,10,Germany,FCI,,loyal;alert;trainable,Moderate,breed-specific estimate
Field Spaniel,Medium feathered,"Ear infections (https://www.notion.so/Ear-infections-fd85c5b639f24299ac35d4473632139b?pvs=21), Hip dysplasia (https://www.notion.so/Hip-dysplasia-28ccf55ca088810885bddfc098b4ac19?pvs=21), eye disorders (https://www.notion.so/eye-disorders-cd0dd96b0fb74875826f79b347d6c161?pvs=21)",,breed-specific,High,High (60–90 min/day),8,15.2,9.2,23,14,Moderate–High,Moderate,,Retrievers & spaniels: ear infections common; atopy/skin issues occur; orthopedic screening recommended.,Otic; Dermatologic; Orthopedic,11–14,16.5,10.6,25,16,England,"AKC, FCI",hips/elbows (OFA/FCI); ear care plan; skin/coat checks,gentle;obedient;enthusiastic,High,breed-specific estimate
