Category title,Module title,Format,Estimated Time,Ideal Stage of Life,Brief Description,Detailed Description,Brief Step 1,Brief Step 2,Brief Step 3,Brief Step 4,Brief Step 5,Detailed Step 1,Detailed Step 2,Detailed Step 3,Detailed Step 4,Detailed Step 5
Puppy Socialisation (or Adult Dog Re-socialisation),The critical socialisation window,Reading (article),8–12 minutes,Week 3–16,This module explains the puppy socialisation period and how timing affects learning and behaviour.,"Puppies have a sensitive developmental period—typically between 3 and 16 weeks—when they are most open to new experiences. This module teaches owners how to safely expose puppies to essential stimuli during this window while avoiding overwhelm. It also explains how adult dogs can still learn through a modified socialisation process, even if they missed early exposure.",Learn timeline of socialisation.,Identify key experiences needed.,Prioritise safe exposures.,Avoid overwhelming stimuli.,Track progress weekly.,Study the timeline of the critical socialisation period and understand why early positive exposure is crucial for preventing fear and aggression later.,"Identify essential experiences such as sounds, textures, people, animals, handling, car rides, and environments.","Choose safe, controlled exposures tailored to your puppy’s vaccine status and confidence.","Avoid overwhelming or flooding experiences, which can cause fear rather than confidence.",Track exposures weekly to ensure variety and balanced learning.
Puppy Socialisation (or Adult Dog Re-socialisation),"Introducing new people, dogs, and environments",Reading (article),10–15 minutes,Week 3–16,"This module shows how to safely introduce a dog to new people, friendly dogs, and new environments.","Many behavioural issues stem from poor or overwhelming early introductions. This module teaches structured approaches for meeting new people, greeting friendly dogs, and exploring new environments without fear. It covers managing excitement, reading body language, and avoiding unsafe dog interactions. Owners learn how to build positive associations and avoid common mistakes that slow socialisation progress.",Start with calm people.,Introduce dogs selectively.,Use distance for safety.,Reward curiosity.,Keep outings short.,"Begin by choosing calm, dog-friendly individuals for early people introductions and avoid crowds or overly energetic greetings.","Introduce your dog to friendly, stable dogs who communicate clearly and avoid any dog showing rude or intense behaviour.",Use distance as a safety tool—give your dog space to observe before approaching.,"Reward any voluntary curiosity such as glancing, sniffing, or stepping toward a new person or environment.",Keep outings short and gradually increase duration as confidence builds.
Puppy Socialisation (or Adult Dog Re-socialisation),"Positive exposure to sounds, objects, and handling",Reading (article),10–15 minutes,Week 3–16,"This module teaches how to expose your dog to everyday sounds, objects, and physical handling in a safe, positive way.","Exposure to sounds, movement, and gentle handling teaches dogs to stay relaxed during real-world situations. This module covers vacuum cleaners, doorbells, traffic, grooming tools, children’s toys, and more. It also teaches cooperative care handling such as touching paws, teeth, ears, and collar. The goal is to build calm familiarity rather than fear or avoidance.",Choose common sounds.,Start with low volume.,Pair exposure with treats.,Practise gentle handling.,Increase difficulty slowly.,"Begin by selecting everyday sounds and objects such as traffic noise, kitchen appliances, wheelchairs, bikes, and grooming tools.",Play sounds at very low volume or introduce objects from a safe distance to prevent fear.,Pair each exposure with treats and praise to build positive emotional associations.,"Practise gentle cooperative handling by touching paws, ears, mouth, collar, and tail while rewarding calm behaviour.","Increase volume, duration, or proximity slowly as confidence grows."
Puppy Socialisation (or Adult Dog Re-socialisation),Socialising with children and household pets,Reading (article),10–15 minutes,Week 3–16,This module teaches safe interactions with children and other pets in the home.,"Dogs and children often misunderstand each other. This module teaches owners how to supervise interactions, teach children appropriate behaviour, and prevent accidental fear or aggression. It also explains how to introduce dogs to cats, small animals, and older or anxious pets using structured, low-pressure methods. Owners learn how to protect everyone’s safety while building positive long-term relationships.",Teach children rules.,Supervise all interactions.,Use barriers as needed.,Reward calm behaviour.,End sessions before stress appears.,"Begin by teaching children how to interact respectfully: no grabbing, hugging, or crowding the dog.","Supervise every interaction between dogs and children or pets, stepping in early if excitement rises.",Use gates or pens to create safe observation opportunities before close contact.,Reward calm behaviour from both the dog and children to reinforce positive interactions.,Keep sessions brief and end them immediately if either the dog or child shows signs of stress.
Foundation Life Skills,Name recognition and attention to owner,Reading (article + practice guide),8–12 minutes,Week 4–8,This module teaches your dog to recognise their name and check in with you reliably.,"Name recognition is one of the most important foundation skills. It teaches your dog that their name means “look at me” rather than “come here” or “stop.” This module explains how to build strong focus using reward-based association, how to avoid overusing the name, and how to develop reliable check-ins even around distractions. A dog who responds to their name is easier to train, easier to manage, and safer in everyday environments.",Say name once.,Mark eye contact.,Reward quickly.,Practise indoors.,Add distractions slowly.,Begin indoors in a quiet space. Say your dog’s name once—never repeat it.,"The moment your dog looks toward you, mark with “Yes!” and reward.",Keep sessions short and fun to build a positive emotional connection to their name.,Practise in different rooms and during calm moments to build reliability.,"Gradually introduce mild distractions, rewarding check-ins to strengthen focus in real-world environments."
Foundation Life Skills,Marker training review (practical use),Reading (article + exercises),8–12 minutes,Week 4–8,This module teaches how to use markers correctly during real training sessions.,"Markers (“Yes,” clicker, or other signals) help dogs understand exactly which behaviour is being rewarded. This module expands on practical timing, reward delivery, and how to combine markers with cues and shaping. Owners learn how to avoid common mistakes such as marking too late or mixing markers unintentionally, ensuring fast, clear learning.",Choose marker word.,Charge the marker.,Practise timing drills.,Pair marker with behaviours.,Use consistently.,"Pick a clear, short marker such as “Yes!” that all family members will use.",Practise timing by marking simple behaviours like sits or head turns to build precision.,Use the marker during real training sessions to highlight correct actions.,Maintain consistency across all handlers to avoid confusing the dog.,
Foundation Life Skills,Calmness and impulse control,Reading (article + activities),10–15 minutes,Week 6–12,"This module teaches your dog how to regulate excitement, frustration, and arousal.","Impulse control is essential for preventing jumping, mouthing, barking, and general chaos. This module teaches foundational exercises such as settling, default calmness, offering patience, waiting for permission, and managing emotional arousal. Owners learn how to reduce overstimulation, use structured training games, and help their dog choose calm behaviour without relying on punishment.",Practise calm rewards.,Reward stillness.,Use simple boundaries.,Add duration slowly.,Use calm environments first.,"Start by rewarding naturally calm behaviours such as sitting, lying down, or looking away.",Use patience games like waiting for eye contact before tossing a treat.,Teach simple boundaries such as waiting at doorways or sitting before meals.,Practise in quiet environments before adding mild distractions to avoid overwhelming the dog.,
Foundation Life Skills,Handling and grooming tolerance,Reading (article + cooperative care guide),10–15 minutes,Week 4–12,"This module teaches dogs to accept grooming, touching, and health handling calmly.","Handling skills make vet visits, grooming, and everyday care stress-free. This module covers cooperative care basics including touching paws, ears, teeth, and tail; brushing; nail prep; and collar handling. Owners learn how to desensitise sensitive dogs, build trust, and use rewards to make physical handling safe and comfortable for both dog and human.",Start gentle touches.,Reward calm behaviour.,Increase duration.,Add tools slowly.,Practise daily.,"Begin by touching your dog’s paws, ears, and shoulders lightly while giving treats for calm behaviour.",Keep sessions very short and always stop before your dog becomes uncomfortable.,"Gradually increase the length of touch and introduce brief lifts, holds, or gentle brushing.","Slowly introduce grooming tools such as brushes, nail files, or clippers from a distance before using them.",Practise daily to build familiarity and prevent handling-related fear from developing.
Preventing & Managing Common Puppy Behaviours,Nipping and bite inhibition,Reading (article + practice guide),10–15 minutes,Week 6–14,"This module teaches how to reduce puppy nipping and develop safe, gentle bite inhibition.","Puppies explore the world with their mouths, but without guidance this becomes painful nipping. This module explains why puppies nip, how to teach gentle mouthing, how to redirect biting, and how to build frustration tolerance. You’ll learn the difference between normal puppy behaviour and red flags, plus how to handle teething, overstimulation, and play biting safely.",Redirect nipping.,Reward gentle mouths.,Stop play if biting escalates.,Provide chew outlets.,Practise calm handling.,"Redirect nipping by immediately offering a toy or chew any time your puppy goes for hands, feet, or clothing.",Mark and reward moments when your puppy licks or mouths gently to reinforce bite inhibition.,"If biting increases, end the interaction briefly to teach that roughness stops play.","Provide multiple chew outlets such as teething toys, frozen chews, and safe long-lasting treats.",Practise daily calm handling so your puppy learns not to use teeth when touched or restrained.
Preventing & Managing Common Puppy Behaviours,Chewing and teething,Reading (article),8–12 minutes,Week 6–20,This module teaches owners how to manage teething and prevent destructive chewing.,"Chewing is a normal developmental behaviour, especially during teething. This module explains how to prevent furniture damage, provide appropriate chew toys, supervise effectively, and manage the environment. You’ll learn how to redirect chewing, crate or confine when needed, and recognise signs of boredom or anxiety-related chewing.",Provide chew toys.,Supervise closely.,Redirect inappropriate chewing.,Rotate toy options.,Use management tools.,Offer a variety of safe chew items matched to your puppy’s teething needs—soft chews for early stages and firmer ones for older puppies.,Supervise closely to prevent access to unsafe items like cords or furniture.,Redirect by calmly giving your puppy an appropriate chew when they make a wrong choice.,Rotate toys regularly to maintain novelty and reduce boredom.,"Use crates, pens, or baby gates when you cannot supervise to prevent destructive habits from forming."
Preventing & Managing Common Puppy Behaviours,Jumping up,Reading (article + troubleshooting guide),8–12 minutes,Week 8–16,This module teaches how to prevent and reduce jumping behaviour.,"Jumping is a common attention-seeking behaviour. This module teaches how to reinforce calm greetings, manage excitement, use prevention strategies, and avoid accidentally rewarding jumping. Owners learn how to coach visitors, teach alternative behaviours, and build reliable impulse control during greetings.",Ignore jumping.,Reward four-on-the-floor.,Teach sit for greetings.,Coach visitors.,Practise daily.,"Withhold attention—no touching, talking, or eye contact—whenever your puppy jumps.",Reward and praise immediately when all four paws are on the floor.,Teach a default sit for greetings to give your puppy a clear job.,"Instruct visitors to follow the same rules, avoiding accidental reinforcement.",Practise structured greeting sessions with family members to build consistency.
Preventing & Managing Common Puppy Behaviours,Barking,Reading (article),10–15 minutes,Week 8–20,This module helps owners understand and manage barking behaviour appropriately.,"Barking can stem from boredom, fear, excitement, or frustration. This module teaches owners how to identify the underlying cause and apply the right strategy—calmness training, redirecting focus, environmental changes, or increased enrichment. You’ll learn when to intervene, when to ignore, and how to reduce triggers in the environment.",Identify barking type.,Remove triggers when possible.,Redirect focus.,Reward quiet moments.,Avoid punishment.,"Determine whether the barking is alerting, attention-seeking, boredom-driven, fear-based, or frustration-related.","Modify the environment by blocking visual triggers, adding rest, or reducing overstimulation.",Redirect barking into an alternative behaviour such as going to a mat or performing a cue.,"Mark and reward quiet moments, increasing duration over time.","Avoid yelling or punishment, which increases arousal and can worsen barking."
Preventing & Managing Common Puppy Behaviours,Potty training and marking issues,Reading (article + schedule guide),10–15 minutes,Week 6–20,This module teaches effective toilet training and how to prevent marking issues.,"Potty training requires structure, supervision, and predictable routines. This module covers scheduling, crate use, accident prevention, appropriate reinforcement, and how to manage marking in adolescent dogs. Owners learn how to build reliable toilet habits and how to troubleshoot common setbacks.",Set feeding schedule.,Take dog out frequently.,Reward outdoor toileting.,Supervise indoors.,Interrupt and redirect accidents.,Establish a consistent feeding routine to predict your puppy’s toileting needs.,Reward outdoor toileting immediately with praise and treats.,"Supervise indoors using leashes, pens, or gates to prevent silent accidents.","Clean accidents with an enzymatic cleaner and avoid punishment, as it causes fear without teaching the correct behaviour.",
Preventing & Managing Common Puppy Behaviours,Managing overexcitement,Reading (article + exercises),8–12 minutes,Week 8–20,This module teaches how to reduce hyperactivity and arousal spikes in puppies.,"Overexcitement can lead to zoomies, barking, nipping, jumping, and difficulty focusing. This module teaches how to use calmness protocols, structured play, enrichment, and rest balance. Owners learn to recognise early signs of overstimulation and redirect energy before it escalates.",Reduce stimulation levels.,Reward calm behaviour.,Use structured play.,Add more enrichment.,Maintain rest schedule.,"Reduce overstimulating triggers like rough play, chaos, or long periods without rest.",Reward calm behaviours and reinforce settling on a mat.,"Use short, structured play sessions with predictable rules.","Increase mental enrichment such as sniffing games, puzzles, or short training sessions.","Ensure your puppy has adequate nap time to prevent overtiredness, which often presents as hyperactivity."
Understanding Canine Communication,Reading dog body language,Reading (article + visual guide),10–15 minutes,Week 4–12,This module teaches owners how to read basic and subtle canine body language signals.,"Understanding dog body language helps prevent misunderstandings, fear, and conflict. This module explains signals such as posture, tail movement, facial expressions, ear positions, and tension. Owners learn how dogs communicate comfort, discomfort, playfulness, fear, stress, and aggression—often long before vocalisations occur. Recognising these early cues helps create safer interactions and more confident training.",Learn main body cues.,Observe relaxed signals.,Identify stress signs.,Watch posture changes.,Practise daily observation.,"Study key areas of canine communication: eyes, ears, mouth, tail, posture, and movement.","Observe what relaxed body language looks like—soft eyes, loose muscles, neutral tail, and fluid movement.","Learn stress signals such as lip licking, yawning, turning away, freezing, and whale eye.","Watch for context-based cues like weight shifts, lowered body posture, or stiffening, which often predict escalation.","Practise observing your dog during training, play, and rest to build fluency reading their signals."
Understanding Canine Communication,What your dog’s signals mean,Reading (article),10–15 minutes,Week 4–12,This module explains common dog communication signals and what emotional states they represent.,"Dogs use a combination of visual, auditory, and movement-based signals to communicate their feelings. This module breaks down common signals—like tail wag types, vocalisations, play bows, freezes, and avoidance behaviours—and teaches owners how to interpret these accurately. Understanding meaning behind signals prevents misinterpretation and helps owners respond appropriately.",Learn play signals.,Learn fear signals.,Learn frustration cues.,Combine cues for context.,Practise interpreting daily.,"Review classic play signals such as the play bow, loose movement, and soft expression.","Learn fear and insecurity signals like tucked tail, crouching, trembling, or avoiding eye contact.","Study frustration cues including whining, pawing, pacing, and barking when blocked.",Understand that dogs communicate using clusters of signals rather than individual cues.,Practise identifying signals in everyday interactions to strengthen your observation skills.
Understanding Canine Communication,Stress and calming signals,Reading (article),10–12 minutes,Week 6–14,This module teaches owners how to recognise early signs of stress and the calming signals dogs use to defuse tension.,"Dogs often show subtle calming signals to avoid conflict and regulate their emotions. These include yawning, sniffing, blinking, turning away, and slow movements. This module helps owners recognise when their dog is overwhelmed, how to reduce environmental pressure, and how to support calmer emotional states. Early recognition prevents escalation into fear or reactivity.",Learn calming signals.,Identify stress triggers.,Reduce intensity.,Give space.,Support calm choices.,"Learn common calming signals such as head turns, soft blinking, slow movements, yawning, and ground sniffing.","Identify what triggers stress—new environments, fast movements, loud noises, or unfamiliar dogs.","Reduce intensity by increasing distance, lowering volume, or stopping interaction.",Give your dog space and time to process instead of pushing them forward.,Reward calm behaviours and support voluntary engagement to build emotional resilience.
Understanding Canine Communication,Understanding personality and breed tendencies,Reading (article),10–15 minutes,Week 8–16,This module explains how a dog’s breed traits and individual personality influence communication and behaviour.,"Breed tendencies influence energy, sensitivity, social needs, and communication style. This module teaches owners how herding breeds, guardian breeds, retrievers, terriers, scent hounds, and toy breeds differ in their instincts and body language. It also covers how individual temperament—confident, cautious, social, independent—affects communication. Understanding these factors helps owners set realistic expectations and adapt handling appropriately.",Learn breed traits.,Identify your dog's tendencies.,Consider temperament.,Adjust communication.,Set realistic expectations.,"Review common behavioural tendencies across breed groups such as herding, guarding, sporting, terrier, and working types.","Observe which traits your dog exhibits—vigilance, high energy, independence, or sensitivity.","Consider temperament differences within breeds, such as bold vs. cautious.","Adjust your handling to your dog’s communication style, energy level, and genetic predispositions.",Use this understanding to set realistic training expectations and reduce frustration.
Understanding Canine Communication,Building better communication with your dog,Reading (article + practice exercises),10–15 minutes,Week 6–20,This module teaches how to communicate clearly and build a cooperative training relationship.,"Effective communication creates trust, reduces confusion, and strengthens your relationship. This module teaches timing, tone of voice, reinforcement clarity, cue consistency, and body language awareness. Owners learn how to communicate in ways dogs understand while avoiding mixed messages that lead to ignoring cues or inconsistent behaviour.",Be consistent.,Use clear cues.,Reward promptly.,Watch your body language.,Practise daily connection.,Ensure everyone uses the same cue words and reinforcement rules to create predictable communication.,"Use simple, clear cues delivered once, avoiding repeating instructions.",Mark and reward behaviours promptly so your dog understands exactly what earned the reinforcement.,"Pay attention to your body language—leaning forward, stepping toward, or reaching over can unintentionally pressure or confuse your dog.","Practise short, daily engagement sessions to build a strong communication foundation."
Adopting a Rescue or Older Dog,Preparing mentally and practically for adoption,Reading (article),10–15 minutes,Before adoption,This module prepares owners for the emotional and practical realities of adopting a rescue or older dog.,"Rescue dogs often come with unknown histories, varied experiences, and unique emotional needs. This module helps you understand what to expect, how to manage your own expectations, and how to prepare your home and mindset for a smoother transition. You'll learn why patience, structure, and empathy are essential and how preparation can significantly reduce early challenges.",Learn rescue realities.,Prepare your home.,Set realistic expectations.,Plan first weeks.,Commit to patience.,"Begin by learning about common rescue dog experiences such as previous trauma, inconsistent care, or lack of training.","Prepare your home with safe spaces, gates, and predictable routines to reduce overwhelm.",Set realistic expectations—many dogs take weeks or months to feel secure.,"Plan the first weeks with quiet predictability, limiting big outings or overwhelming social interactions.","Commit to patience and empathy, recognising that building trust takes time."
Adopting a Rescue or Older Dog,What to expect during adjustment period,Reading (article),8–12 minutes,First 4–12 weeks after adoption,This module explains the stages rescue dogs go through as they adjust to a new home.,"Many rescue dogs follow a common adjustment pattern: the decompression period, the settling-in phase, and the true personality stage. This module teaches what behaviours to expect in each stage, how to support your dog emotionally, and how to prevent overwhelm. Understanding these phases avoids misinterpretation and supports a smoother transition.",Learn adjustment stages.,Support decompression.,Introduce routine.,Avoid overwhelm.,Track progress.,"Support decompression by providing quiet, minimal pressure, and a predictable environment.",Introduce simple daily routines to help your dog feel safe and understand expectations.,"Avoid overwhelming stimuli such as crowded places, long outings, or chaotic play.",Track improvements in behaviour to understand your dog’s pace of adjustment.,
Adopting a Rescue or Older Dog,Building trust and overcoming fear,Reading (article + exercises),10–15 minutes,First 4–12 weeks,This module teaches how to build trust with a rescue dog and help them overcome fear or insecurity.,"Rescue dogs often struggle with fear, uncertainty, or past negative experiences. This module teaches how to use positive reinforcement, consent-based interactions, predictable routines, and gentle exposure to help your dog feel safe. You'll learn how to recognise fear signals, avoid pushing too quickly, and build trust through choice and consistency.",Move slowly.,Allow choices.,Reward bravery.,Avoid pressure.,Build predictable routines.,"Move at your dog’s pace—slow, soft interactions prevent overwhelming them.",Offer choices (approach/retreat) to build confidence and trust.,Reward small moments of bravery like sniffing new objects or approaching people.,"Avoid pushing your dog toward feared stimuli, which can worsen fear.","Build predictable routines so your dog learns what to expect each day, reducing anxiety."
Adopting a Rescue or Older Dog,Age-related learning differences,Reading (article),8–12 minutes,Any stage,This module explains how older dogs learn differently than puppies and how to adapt training appropriately.,"Older dogs can absolutely learn, but they may have physical limitations, slower processing, or established habits. This module teaches how to adapt training sessions, modify expectations, choose appropriate rewards, and support physical comfort. Understanding these differences makes training fair and enjoyable for senior or adult rescue dogs.",Consider physical limits.,Adjust pacing.,Use high-value rewards.,Keep sessions short.,Celebrate progress.,Observe physical limitations such as joint stiffness or slower movement.,"Adjust training pace, allowing more time for processing and response.",Use high-value rewards to increase motivation and engagement.,Keep training sessions short to prevent fatigue.,"Celebrate improvements, recognising that progress may come in smaller steps for older dogs."
Adopting a Rescue or Older Dog,Common rescue behaviour challenges,Reading (article + troubleshooting guide),12–18 minutes,First 4–16 weeks,This module covers common behavioural issues seen in rescue dogs and how to address them safely.,"Rescue dogs may show behaviours linked to fear, lack of structure, previous neglect, or survival strategies. This module explains reactivity, resource guarding, escape attempts, shutdown behaviours, and hypervigilance. Owners learn how to manage environments, use positive reinforcement, avoid punishment, and seek professional help when needed.",Identify behaviour.,Create management plan.,Reduce triggers.,Reinforce alternative behaviours.,Seek help if needed.,"Identify the specific behaviour (reactivity, guarding, fleeing) and its possible emotional root.","Create a management plan using gates, leashes, or controlled exposures to prevent rehearsing unwanted behaviour.",Reduce environmental triggers and avoid overwhelming situations.,"Teach and reinforce alternative behaviours such as checking in, going to a mat, or moving away.",Seek professional support if behaviour worsens or poses safety concerns.
Adopting a Rescue or Older Dog,First-month essentials and training plan,Reading (article + plan template),10–15 minutes,First 4 weeks,This module provides a structured plan for the first month with a rescue or older dog.,"A structured first month helps a rescue dog settle, feel secure, and begin learning. This module provides a weekly guide covering routine building, crate or safe space training, social exposure, basic life skills, and early behaviour prevention. Owners learn how to balance progress with patience and when to adjust the plan based on the dog's comfort level.",Follow week-by-week plan.,Build routines.,Introduce gentle training.,Add safe social exposure.,Adjust based on dog’s needs.,"Start with a week-by-week structure covering decompression, routine introduction, beginner training, and gradual exposure.","Focus on predictable daily routines such as meals, rest, and toileting.","Introduce gentle training like name recognition, hand targeting, and calmness foundations.","Add safe, distance-based social exposure to new environments and people.",Adjust pace as needed to match your dog’s confidence and emotional stability.
Adopting a Rescue or Older Dog,Preparing mentally and practically for adoption,Reading (article),10–15 minutes,Before adoption,This module prepares owners for the emotional and practical responsibilities of adopting a rescue or older dog.,"Adopting a rescue or older dog requires realistic expectations, patience, and understanding. This module teaches what to expect emotionally, how to prepare your home, how to set up routines early, and how to support a dog with an unknown history. Owners learn how to create a stable environment, establish trust, and avoid overwhelming the dog during the first days and weeks.",Set realistic expectations.,Prepare home setup.,Plan first-week routine.,Reduce overwhelm.,Provide consistency.,Begin by acknowledging that rescue dogs often need time to decompress and may not reveal their true personality for days or weeks.,"Prepare your home using gates, pens, or crates to create a predictable and safe environment.","Plan a calm first week with simple routines, limited visitors, and gentle introductions.",Reduce overwhelming experiences such as busy outings or too much handling early on.,"Provide consistent feeding, toileting, and rest routines to help your dog feel secure."
Adopting a Rescue or Older Dog,What to expect during adjustment period,Reading (article),8–12 minutes,Week 1–4 after adoption,This module explains the “honeymoon period” and behavioural adjustment in rescue dogs.,"Rescue or older dogs often go through a decompression period where behaviour changes as they settle in. This module explains common patterns such as initial shutdown, increased testing of boundaries, reactivity changes, or regression. Owners learn how to support the dog through fear, adjustment, and early trust-building while avoiding common mistakes that prolong stress.",Learn decompression stages.,Expect shifting behaviour.,Avoid overwhelming.,Support calm routines.,Provide patience.,"Learn the typical decompression timeline: initial withdrawal, gradual exploration, testing boundaries, and eventual stabilisation.","Expect behaviour to shift as your dog becomes more comfortable, sometimes revealing issues not seen initially.","Avoid overwhelming environments, busy events, or too much freedom early on.","Maintain calm, predictable routines to help your dog feel stable and safe.",Give your dog ample patience and time to adjust emotionally and behaviourally.
Adopting a Rescue or Older Dog,Building trust and overcoming fear,Reading (article + practice exercises),10–15 minutes,Week 1–12,This module teaches how to build trust with rescue dogs who may have past trauma or fear.,"Many rescue dogs have experienced inconsistent care or stressful situations. This module teaches owners how to build trust through gentle handling, predictable routines, choice-based training, and avoiding force. You’ll learn how to desensitise fearful dogs, how to respect thresholds, and how to use reinforcement to build confidence over time.",Move slowly.,Allow choice.,Reinforce curiosity.,Avoid pressure.,Progress gradually.,"Approach your dog slowly and avoid leaning over or reaching abruptly, which can feel threatening.",Provide choice by letting your dog approach you rather than forcing interactions.,Reward any curiosity or voluntary engagement to build positive associations.,"Avoid physically pushing, dragging, or flooding fearful dogs with overwhelming stimuli.",Progress slowly by increasing exposure only as your dog shows comfort and confidence.
Adopting a Rescue or Older Dog,Age-related learning differences,Reading (article),8–12 minutes,Week 1–12,This module explains how older dogs learn differently from puppies and how to adapt training accordingly.,"Older dogs often learn more slowly but more steadily than puppies. This module explains how to modify training sessions for slower processing speeds, physical limitations, and past learning history. You’ll learn how to adapt reinforcement, reduce physical strain, and create achievable training expectations based on age and health.",Shorten sessions.,Reduce physical strain.,Use higher-value rewards.,Be patient.,Adjust expectations.,Use shorter training sessions to match your dog's cognitive processing speed.,Modify physical tasks to avoid strain on joints or muscles.,Use motivating rewards that keep older dogs engaged.,Practise patience and avoid comparing progress to younger dogs.,"Adjust training objectives based on your dog's comfort, mobility, and learning history."
Adopting a Rescue or Older Dog,Common rescue behaviour challenges,Reading (article + troubleshooting guide),10–15 minutes,Week 1–12,This module helps owners identify and manage common behavioural challenges in rescue dogs.,"Rescue dogs may come with behaviours such as reactivity, resource guarding, fear of confinement, escape attempts, or sensitivity to handling. This module explains why these behaviours occur, how to manage them safely, and when to seek professional help. Owners learn step-by-step strategies to reduce fear and reactivity while supporting the dog’s emotional needs.",Identify main issues.,Use management tools.,Avoid punishment.,Build safety first.,Seek help when needed.,"Identify which behaviours your rescue dog struggles with most—reactivity, guarding, fear, or escape behaviours.","Use management tools such as gates, leashes, and crates to keep everyone safe.","Avoid punishment or harsh corrections, which can worsen fear-based behaviours.",Focus on creating safety and predictability through structure and routine.,Seek help from a trainer or behaviourist if behaviours escalate or become unsafe.
Adopting a Rescue or Older Dog,First-month essentials and training plan,Reading (article + checklist),10–15 minutes,First 30 days,This module provides a structured 30-day plan for newly adopted dogs.,"A strong first month sets the foundation for long-term behaviour and trust. This module provides a simple weekly plan including routine building, crate or pen training, early socialisation, basic manners, and introductions to exercise. Owners learn how to progress gradually, track changes, and avoid pushing the dog too quickly during the adjustment period.",Follow weekly structure.,Add training slowly.,Build routine first.,Track progress.,Adjust pace for comfort.,Prioritise routine above complex training to build stability.,Track progress weekly to recognise wins and detect patterns.,Adjust the pace based on your dog's confidence and comfort—never rush the process.,,
Loose Leash Walking Program,Foundations of leash attention,Reading (article + exercises),10–15 minutes,Week 8–16,This module teaches your dog to pay attention on leash instead of pulling or scanning.,"Leash attention is the foundation for all loose-leash walking. Dogs must learn that checking in with their handler is rewarding, and that attention prevents pulling. This module explains how to build eye contact, engagement, and focus before ever walking in distracting places. Teaching attention early prevents leash frustration and prepares the dog for calm walking later.",Reward check-ins.,Practise indoors.,Add mild distractions.,Use marker for eye contact.,Keep sessions short.,"Begin in a quiet area and reward your dog whenever they look at you, even briefly.",Practise indoors and in the yard to strengthen the behaviour without distractions.,Gradually introduce low-level distractions such as mild outdoor noises.,Use a marker (“Yes!”) every time your dog offers voluntary eye contact.,Keep sessions short and upbeat to build engagement before real walks.
Loose Leash Walking Program,Engagement and focus games,Reading (article + practice games),10–15 minutes,Week 8–20,This module teaches fun games that encourage your dog to stay mentally connected during walks.,"Dogs who stay engaged are far less likely to pull. This module introduces simple games like hand-targets, reward-following, and quick attention cues. Owners learn how to switch between fun engagement and calm walking, building reliability even around distractions. These games reduce pulling by teaching your dog that staying near you is rewarding and enjoyable.",Teach hand targets.,Practise quick check-ins.,Add movement games.,Reward close walking.,Use games before distractions.,"Teach your dog to touch your hand with their nose, using the behaviour to redirect them.",Practise fast attention cues (“Look!”) to help your dog refocus when excited.,"Add movement-based games such as turning away, walking backward, or stepping sideways.","Reward your dog for choosing to walk near you, reinforcing voluntary heel-zone walking.",Use engagement games before entering high-distraction areas to prime focus.
Loose Leash Walking Program,Heel vs. loose leash distinction,Reading (article + demos),8–12 minutes,Week 10–20,This module teaches owners the difference between relaxed loose leash walking and formal heel.,"Loose leash walking and heel are different skills. Loose leash walking allows sniffing and exploring as long as the leash stays slack, while heel is structured and precise. This module explains how to teach both, when to use them, and how to avoid confusing the dog. Owners learn how to switch between relaxed walking and focused heel in real-world situations.",Teach loose leash rules.,Teach structured heel.,Use separate cues.,Practise transitions.,Reinforce correct positions.,Begin by teaching loose leash walking: reward your dog whenever the leash is slack and they remain within your general walking zone.,Teach heel separately by rewarding your dog for staying beside your left or right leg with attention.,Use distinct cues such as “Let’s go” for loose walking and “Heel” for structured walking.,Practise switching between the two modes in low-distraction environments.,"Reinforce heavily when your dog makes correct choices, especially early in training."
Loose Leash Walking Program,Teaching 'Stop' and 'Let's go',Reading (article + quick exercises),8–12 minutes,Week 8–20,This module teaches impulse control and restarts during leash walking.,"Teaching stop/go cues prevents pulling, rushing, or forging ahead. This module explains how to teach the dog to pause calmly when the handler stops, and to restart walking only when cued. These cues create structure, prevent leash tension, and reduce confusion during real-world walks.",Teach automatic stop.,Reward stillness.,Add 'Let's go'.,Practise indoors.,Add mild distractions.,Stop walking abruptly and wait for your dog to pause or look back; mark and reward the moment they stop tension.,Reward stillness so your dog understands that stopping leads to calm behaviour.,Introduce “Let’s go” as the restart cue and reward your dog for moving off with you.,Practise indoors or in your yard before attempting these cues on real walks.,Add mild distractions gradually to improve reliability.
Loose Leash Walking Program,Working around distractions,Reading (article + scenarios),10–15 minutes,Week 12–24,This module teaches dogs how to stay calm and responsive near distractions.,"Distractions such as dogs, people, birds, or smells can cause pulling or overstimulation. This module teaches distance management, focus recovery, and reward strategies. Owners learn how to read their dog’s arousal levels, create distance when needed, and teach alternative behaviours to replace pulling or lunging.",Create distance.,Use focus cues.,Reward calm choices.,Redirect early.,Practise predictable setups.,Increase distance from distractions to keep your dog below their threshold.,Use focus cues such as name recognition or hand targets to reconnect.,Reward calm decisions such as glancing at distractions but choosing to stay near you.,"Redirect early when your dog first notices a distraction, before arousal spikes.",Practise predictable setups like observing distractions from a distance to build success.
